task,partition,method,dim_percent,id_dim,seed,epochs,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
mp_band_gap,bandgap_p01_1,fastfood,100,1.0,123,350,0.7074583707290003,0.6640358376623378,778.0,0.2161,2026-06-24T00:52:53+03:00,2026-06-24T01:05:51+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim100_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,100,1.0,456,350,0.6499858937622776,0.7615128441558441,743.0,0.2064,2026-06-24T02:32:06+03:00,2026-06-24T02:44:29+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim100_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,80,0.8,123,350,0.7486958943336504,0.6859804675324676,728.0,0.2022,2026-06-24T01:05:51+03:00,2026-06-24T01:17:59+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim080_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,80,0.8,456,350,0.6628037611244508,0.7441979675324676,743.0,0.2064,2026-06-24T02:44:29+03:00,2026-06-24T02:56:52+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim080_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,60,0.6,123,350,0.7568743652809644,0.6304119025974025,736.0,0.2044,2026-06-24T01:18:00+03:00,2026-06-24T01:30:16+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim060_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,60,0.6,456,350,0.6456237027323368,0.7914026558441558,743.0,0.2064,2026-06-24T02:56:53+03:00,2026-06-24T03:09:16+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim060_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,50,0.5,123,350,0.7997482153150486,0.580074987012987,745.0,0.2069,2026-06-24T01:30:16+03:00,2026-06-24T01:42:41+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim050_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,50,0.5,456,350,0.6351150141435937,0.8212310844155845,740.0,0.2056,2026-06-24T03:09:16+03:00,2026-06-24T03:21:36+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim050_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,45,0.45,123,350,0.8058696495863842,0.6121290064935064,750.0,0.2083,2026-06-24T01:42:42+03:00,2026-06-24T01:55:12+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim045_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,45,0.45,456,350,0.651339330319388,0.7783577337662337,743.0,0.2064,2026-06-24T03:21:36+03:00,2026-06-24T03:33:59+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim045_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,20,0.2,123,350,0.8090824640676146,0.7071005194805194,731.0,0.2031,2026-06-24T01:55:12+03:00,2026-06-24T02:07:23+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim020_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,20,0.2,456,350,0.6445473597141245,0.8412633181818182,738.0,0.205,2026-06-24T03:34:00+03:00,2026-06-24T03:46:18+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim020_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,10,0.1,123,350,0.8209036217449466,0.6513535584415584,730.0,0.2028,2026-06-24T02:07:23+03:00,2026-06-24T02:19:33+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim010_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,10,0.1,456,350,0.6337784766965342,0.804725512987013,749.0,0.2081,2026-06-24T03:46:18+03:00,2026-06-24T03:58:47+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim010_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,5,0.05,123,350,0.8262455677177059,0.6280011428571428,753.0,0.2092,2026-06-24T02:19:33+03:00,2026-06-24T02:32:06+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim005_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_1,fastfood,5,0.05,456,350,0.6390144298366067,0.751755487012987,762.0,0.2117,2026-06-24T03:58:47+03:00,2026-06-24T04:11:29+03:00,bandgap_p01_1/predictions/bandgap_fastfood_bandgap_p01_1_dim005_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,100,1.0,123,350,0.7506348477618303,0.704582974025974,795.0,0.2208,2026-06-24T00:58:26+03:00,2026-06-24T01:11:41+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim100_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,100,1.0,456,350,0.6562350148674341,0.6726670064935064,755.0,0.2097,2026-06-24T02:39:18+03:00,2026-06-24T02:51:53+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim100_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,80,0.8,123,350,0.6777665981062455,0.6891477272727272,780.0,0.2167,2026-06-24T01:11:41+03:00,2026-06-24T01:24:41+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim080_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,80,0.8,456,350,0.6626683748550022,0.6832362467532468,772.0,0.2144,2026-06-24T02:51:53+03:00,2026-06-24T03:04:45+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim080_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,60,0.6,123,350,0.72617995593464,0.7001405779220778,750.0,0.2083,2026-06-24T01:24:41+03:00,2026-06-24T01:37:11+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim060_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,60,0.6,456,350,0.6773605525017956,0.730664474025974,755.0,0.2097,2026-06-24T03:04:45+03:00,2026-06-24T03:17:20+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim060_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,50,0.5,123,350,0.7264682523964439,0.7448221103896103,744.0,0.2067,2026-06-24T01:37:11+03:00,2026-06-24T01:49:35+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim050_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,50,0.5,456,350,0.6577761190605997,0.7034651493506494,750.0,0.2083,2026-06-24T03:17:20+03:00,2026-06-24T03:29:50+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim050_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,45,0.45,123,350,0.7334424228029093,0.7168531623376624,745.0,0.2069,2026-06-24T01:49:35+03:00,2026-06-24T02:02:00+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim045_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,45,0.45,456,350,0.6497997881456286,0.6528660064935065,736.0,0.2044,2026-06-24T03:29:51+03:00,2026-06-24T03:42:07+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim045_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,20,0.2,123,350,0.6833095377660356,0.6417628051948052,741.0,0.2058,2026-06-24T02:02:00+03:00,2026-06-24T02:14:21+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim020_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,20,0.2,456,350,0.6472497271538487,0.7340161233766234,783.0,0.2175,2026-06-24T03:42:07+03:00,2026-06-24T03:55:10+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim020_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,10,0.1,123,350,0.7161031358409673,0.6257022272727273,741.0,0.2058,2026-06-24T02:14:21+03:00,2026-06-24T02:26:42+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim010_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,10,0.1,456,350,0.6557308918786475,0.6875110779220779,750.0,0.2083,2026-06-24T03:55:10+03:00,2026-06-24T04:07:40+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim010_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,5,0.05,123,350,0.6935522734420374,0.6657352077922079,754.0,0.2094,2026-06-24T02:26:43+03:00,2026-06-24T02:39:17+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim005_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_2,fastfood,5,0.05,456,350,0.6804357503356186,0.6779399675324675,771.0,0.2142,2026-06-24T04:07:41+03:00,2026-06-24T04:20:32+03:00,bandgap_p01_2/predictions/bandgap_fastfood_bandgap_p01_2_dim005_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,100,1.0,123,350,0.6625257364926824,0.5808348701298701,743.0,0.2064,2026-06-24T04:11:32+03:00,2026-06-24T04:23:55+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim100_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,100,1.0,456,350,0.565301777831337,0.6369857402597403,746.0,0.2072,2026-06-24T05:51:07+03:00,2026-06-24T06:03:33+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim100_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,80,0.8,123,350,0.6488695531139115,0.6503887337662337,747.0,0.2075,2026-06-24T04:23:56+03:00,2026-06-24T04:36:23+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim080_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,80,0.8,456,350,0.5666270052461186,0.6547074220779221,745.0,0.2069,2026-06-24T06:03:34+03:00,2026-06-24T06:15:59+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim080_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,60,0.6,123,350,0.6592627200284937,0.6444119155844156,763.0,0.2119,2026-06-24T04:36:23+03:00,2026-06-24T04:49:06+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim060_seed123_epochs350_predictions.csv
