task,method,dim_percent,id_dim,model_seed,split_seed,epochs,batch_size,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
mp_formation_energy_per_atom,fastfood,10,0.1,123,1123,350,config,0.06023713560622746,0.06953945254907042,65061,18.0725,2026-06-18T10:13:00+03:00,2026-06-19T04:17:21+03:00,predictions/eform_fastfood_dim010_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,10,0.1,456,1456,350,config,0.06042275306531224,0.06414528723197511,66136,18.3711,2026-06-18T10:13:00+03:00,2026-06-19T04:35:16+03:00,predictions/eform_fastfood_dim010_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,20,0.2,123,1123,350,config,0.05168594083874517,0.0600338341646693,65750,18.2639,2026-06-18T10:13:00+03:00,2026-06-19T04:28:50+03:00,predictions/eform_fastfood_dim020_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,20,0.2,456,1456,350,config,0.05206096350944786,0.05669028438168038,64696,17.9711,2026-06-18T10:13:00+03:00,2026-06-19T04:11:16+03:00,predictions/eform_fastfood_dim020_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,45,0.45,123,1123,350,config,0.04758259401011225,0.05513021863056293,65268,18.13,2026-06-17T15:39:48+03:00,2026-06-18T09:47:36+03:00,predictions/eform_fastfood_dim045_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,45,0.45,456,1456,350,config,0.04786151961916289,0.04996893599792706,64551,17.9308,2026-06-18T10:12:58+03:00,2026-06-19T04:08:49+03:00,predictions/eform_fastfood_dim045_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,45,0.45,789,1789,350,config,0.04817031347136122,0.05272477217075857,65409,18.1692,2026-06-18T10:12:59+03:00,2026-06-19T04:23:08+03:00,predictions/eform_fastfood_dim045_modelseed789_splitseed1789_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,50,0.5,123,1123,350,config,0.04727856145869827,0.05395467584375202,64423,17.8953,2026-06-18T10:12:59+03:00,2026-06-19T04:06:42+03:00,predictions/eform_fastfood_dim050_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,50,0.5,456,1456,350,config,0.047544447050499324,0.051036486946945646,64482,17.9117,2026-06-18T10:12:58+03:00,2026-06-19T04:07:40+03:00,predictions/eform_fastfood_dim050_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,60,0.6,123,1123,350,config,0.047082060624615306,0.05251166560860271,64634,17.9539,2026-06-18T10:12:59+03:00,2026-06-19T04:10:13+03:00,predictions/eform_fastfood_dim060_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,60,0.6,456,1456,350,config,0.04657883293761474,0.05277566321176394,65307,18.1408,2026-06-18T10:13:00+03:00,2026-06-19T04:21:27+03:00,predictions/eform_fastfood_dim060_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,60,0.6,789,1789,350,config,0.048650075493573336,0.056010435447301936,65835,18.2875,2026-06-18T10:12:59+03:00,2026-06-19T04:30:14+03:00,predictions/eform_fastfood_dim060_modelseed789_splitseed1789_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,80,0.8,123,1123,350,config,0.048598420355251824,0.05078350404871412,65604,18.2233,2026-06-18T10:13:05+03:00,2026-06-19T04:26:29+03:00,predictions/eform_fastfood_dim080_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,80,0.8,456,1456,350,config,0.046380882300452765,0.05296682975966833,66206,18.3906,2026-06-18T10:20:25+03:00,2026-06-19T04:43:51+03:00,predictions/eform_fastfood_dim080_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,100,1.0,123,1123,350,config,0.048055747493045184,0.05346636418993328,64833,18.0092,2026-06-18T10:20:36+03:00,2026-06-19T04:21:09+03:00,predictions/eform_fastfood_dim100_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,100,1.0,456,1456,350,config,0.04763464857836487,0.05574554220379608,65048,18.0689,2026-06-18T10:28:48+03:00,2026-06-19T04:32:56+03:00,predictions/eform_fastfood_dim100_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,15,0.15,123,1123,350,config,0.05445765022964281,0.057956446654142645,65529.0,18.2025,2026-06-23T15:32:11+03:00,2026-06-24T09:44:20+03:00,predictions/eform_fastfood_dim015_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,15,0.15,456,1456,350,config,0.055132443078198215,0.06057219822504372,65091.0,18.0808,2026-06-23T15:36:29+03:00,2026-06-24T09:41:20+03:00,predictions/eform_fastfood_dim015_modelseed456_splitseed1456_epochs350_predictions.csv
