task,partition,method,dim_percent,id_dim,seed,epochs,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,100,1.0,123,350,0.13486672890212503,0.18252515584415588,727.0,0.2019,2026-06-23T10:46:16+03:00,2026-06-23T10:58:23+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim100_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,100,1.0,456,350,0.1809836374063707,0.22974514285714287,718.0,0.1994,2026-06-23T12:10:31+03:00,2026-06-23T12:22:29+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim100_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,80,0.8,123,350,0.13164321722069872,0.19495785714285715,727.0,0.2019,2026-06-23T10:58:23+03:00,2026-06-23T11:10:30+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim080_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,80,0.8,456,350,0.18283411709626307,0.22077646753246752,716.0,0.1989,2026-06-23T12:22:29+03:00,2026-06-23T12:34:25+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim080_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,60,0.6,123,350,0.14073773379277554,0.1853741168831169,722.0,0.2006,2026-06-23T11:10:30+03:00,2026-06-23T11:22:32+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim060_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,60,0.6,456,350,0.18738309684476917,0.22294377922077924,722.0,0.2006,2026-06-23T12:34:25+03:00,2026-06-23T12:46:27+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim060_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,50,0.5,123,350,0.14210880250539049,0.16977984415584413,721.0,0.2003,2026-06-23T11:22:32+03:00,2026-06-23T11:34:33+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim050_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,50,0.5,456,350,0.1930308149362645,0.24373327922077923,721.0,0.2003,2026-06-23T12:46:28+03:00,2026-06-23T12:58:29+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim050_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,45,0.45,123,350,0.1422115779678279,0.1870462142857143,720.0,0.2,2026-06-23T11:34:33+03:00,2026-06-23T11:46:33+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim045_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,45,0.45,456,350,0.19755340002802768,0.24706796103896103,713.0,0.1981,2026-06-23T12:58:29+03:00,2026-06-23T13:10:22+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim045_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,20,0.2,123,350,0.14748051105925697,0.2082876883116883,717.0,0.1992,2026-06-23T11:46:33+03:00,2026-06-23T11:58:30+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim020_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,20,0.2,456,350,0.2054742906670981,0.253880551948052,710.0,0.1972,2026-06-23T13:10:22+03:00,2026-06-23T13:22:12+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim020_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,15,0.15,123,350,0.14978732236704673,0.20030544805194805,706.0,0.1961,2026-06-25T11:14:46+03:00,2026-06-25T11:26:32+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim015_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,15,0.15,456,350,0.21367887784208506,0.2601926363636364,715.0,0.1986,2026-06-25T11:26:32+03:00,2026-06-25T11:38:27+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim015_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,10,0.1,123,350,0.15501314543871558,0.18774674025974025,721.0,0.2003,2026-06-23T11:58:30+03:00,2026-06-23T12:10:31+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim010_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_1,fastfood,10,0.1,456,350,0.22036204484675181,0.24733794805194803,711.0,0.1975,2026-06-23T13:22:12+03:00,2026-06-23T13:34:03+03:00,eform_p01_1/predictions/eform_fastfood_eform_p01_1_dim010_seed456_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_2,fastfood,100,1.0,123,350,0.20447068064822815,0.21228574675324677,729.0,0.2025,2026-06-23T10:46:15+03:00,2026-06-23T10:58:24+03:00,eform_p01_2/predictions/eform_fastfood_eform_p01_2_dim100_seed123_epochs350_predictions.csv
mp_formation_energy_per_atom,eform_p01_2,fastfood,100,1.0,456,350,0.15917002245259937,0.1686217987012987,718.0,0.1994,2026-06-23T12:10:02+03:00,2026-06-23T12:22:00+03:00,eform_p01_2/predictions/eform_fastfood_eform_p01_2_dim100_seed456_epochs350_predictions.csv
