task,wrapper,optim,id_dim_frac,id_dim_percent,model_seed,split_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
eform,fastfood,Adam,1.0,100,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed1123_modelseed123/mp_eform_test_results.csv,0.044,0.057651180773973465,14348,success,0,2026-06-22T13:39:19+03:00,2026-06-22T17:38:27+03:00
eform,fastfood,Adam,0.8,80,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed1123_modelseed123/mp_eform_test_results.csv,0.045,0.04921402782201767,14577,success,0,2026-06-22T13:39:19+03:00,2026-06-22T17:42:16+03:00
eform,fastfood,Adam,0.45,45,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim45_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim45_dataseed1123_modelseed123/mp_eform_test_results.csv,0.048,0.05431360751390457,13814,success,0,2026-06-22T13:53:20+03:00,2026-06-22T17:43:34+03:00
eform,fastfood,Adam,0.6,60,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1123_modelseed123/mp_eform_test_results.csv,0.045,0.058688096702098846,14436,success,0,2026-06-22T13:47:35+03:00,2026-06-22T17:48:11+03:00
eform,fastfood,Adam,0.45,45,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim45_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim45_dataseed1456_modelseed456/mp_eform_test_results.csv,0.048,0.05149216204881668,13786,success,0,2026-06-22T17:43:35+03:00,2026-06-22T21:33:21+03:00
eform,fastfood,Adam,1.0,100,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed1456_modelseed456/mp_eform_test_results.csv,0.044,0.04638175293803215,14352,success,0,2026-06-22T17:38:27+03:00,2026-06-22T21:37:39+03:00
eform,fastfood,Adam,0.6,60,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1456_modelseed456/mp_eform_test_results.csv,0.046,0.04635656997561455,14265,success,0,2026-06-22T17:48:11+03:00,2026-06-22T21:45:56+03:00
eform,fastfood,Adam,0.8,80,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed1456_modelseed456/mp_eform_test_results.csv,0.045,0.04869501292705536,14832,success,0,2026-06-22T17:42:16+03:00,2026-06-22T21:49:28+03:00
eform,fastfood,Adam,0.45,45,789,1789,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim45_dataseed1789_modelseed789,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim45_dataseed1789_modelseed789/mp_eform_test_results.csv,0.047,0.04692276939749718,13828,success,0,2026-06-22T21:33:22+03:00,2026-06-23T01:23:50+03:00
eform,fastfood,Adam,0.5,50,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed1123_modelseed123/mp_eform_test_results.csv,0.047,0.05154416337609291,13545,success,0,2026-06-22T21:44:57+03:00,2026-06-23T01:30:42+03:00
eform,fastfood,Adam,0.2,20,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed1123_modelseed123/mp_eform_test_results.csv,0.056,0.05960743501782417,13936,success,0,2026-06-22T21:49:33+03:00,2026-06-23T01:41:49+03:00
eform,fastfood,Adam,0.6,60,789,1789,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1789_modelseed789,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1789_modelseed789/mp_eform_test_results.csv,0.046,0.04982370510697365,14674,success,0,2026-06-22T21:45:56+03:00,2026-06-23T01:50:30+03:00
eform,fastfood,Adam,0.5,50,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed1456_modelseed456/mp_eform_test_results.csv,0.047,0.05009317770600319,13980,success,0,2026-06-23T01:30:42+03:00,2026-06-23T05:23:42+03:00
eform,fastfood,Adam,0.2,20,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed1456_modelseed456/mp_eform_test_results.csv,0.055,0.06228117644786835,13977,success,0,2026-06-23T01:41:49+03:00,2026-06-23T05:34:46+03:00
eform,fastfood,Adam,0.1,10,123,1123,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed1123_modelseed123,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed1123_modelseed123/mp_eform_test_results.csv,0.071,0.09138188511133194,14093,success,0,2026-06-23T05:23:47+03:00,2026-06-23T09:18:40+03:00
eform,fastfood,Adam,0.1,10,456,1456,350,256,4,56,64,3,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed1456_modelseed456,results_mp_eform_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed1456_modelseed456/mp_eform_test_results.csv,0.067,0.07093923538923264,13726,success,0,2026-06-23T09:18:40+03:00,2026-06-23T13:07:26+03:00
