task,wrapper,optim,id_dim_frac,id_dim_percent,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
matbench_dielectric,fastfood,Adam,1.0,100,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim100_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim100_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim100_dataseed123_modelseed123_test_results.csv,0.441,0.4148450493812561,84,success,0,2026-06-25T11:47:13+03:00,2026-06-25T11:48:37+03:00
matbench_dielectric,fastfood,Adam,1.0,100,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim100_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim100_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim100_dataseed456_modelseed456_test_results.csv,0.426,0.5934463739395142,74,success,0,2026-06-25T11:48:37+03:00,2026-06-25T11:49:51+03:00
matbench_dielectric,fastfood,Adam,1.0,100,789,789,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim100_dataseed789_modelseed789,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim100_dataseed789_modelseed789/cgcnn_matbench_dielectric_fastfood_dim100_dataseed789_modelseed789_test_results.csv,0.507,0.4469241499900818,75,success,0,2026-06-25T11:49:51+03:00,2026-06-25T11:51:06+03:00
matbench_dielectric,fastfood,Adam,0.8,80,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim80_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim80_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim80_dataseed123_modelseed123_test_results.csv,0.461,0.603181004524231,70,success,0,2026-06-25T11:51:06+03:00,2026-06-25T11:52:16+03:00
matbench_dielectric,fastfood,Adam,0.8,80,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim80_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim80_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim80_dataseed456_modelseed456_test_results.csv,0.404,0.5138530135154724,73,success,0,2026-06-25T11:52:16+03:00,2026-06-25T11:53:29+03:00
matbench_dielectric,fastfood,Adam,0.8,80,789,789,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim80_dataseed789_modelseed789,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim80_dataseed789_modelseed789/cgcnn_matbench_dielectric_fastfood_dim80_dataseed789_modelseed789_test_results.csv,0.538,0.47451478242874146,73,success,0,2026-06-25T11:53:29+03:00,2026-06-25T11:54:42+03:00
matbench_dielectric,fastfood,Adam,0.7,70,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim70_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim70_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim70_dataseed123_modelseed123_test_results.csv,0.475,0.9030681252479553,76,success,0,2026-06-25T11:54:42+03:00,2026-06-25T11:55:58+03:00
matbench_dielectric,fastfood,Adam,0.7,70,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim70_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim70_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim70_dataseed456_modelseed456_test_results.csv,0.409,0.4792850911617279,72,success,0,2026-06-25T11:55:58+03:00,2026-06-25T11:57:10+03:00
matbench_dielectric,fastfood,Adam,0.7,70,789,789,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim70_dataseed789_modelseed789,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim70_dataseed789_modelseed789/cgcnn_matbench_dielectric_fastfood_dim70_dataseed789_modelseed789_test_results.csv,0.49,0.4353102445602417,73,success,0,2026-06-25T11:57:10+03:00,2026-06-25T11:58:23+03:00
matbench_dielectric,fastfood,Adam,0.65,65,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim65_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim65_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim65_dataseed123_modelseed123_test_results.csv,0.455,0.7581645250320435,71,success,0,2026-06-25T11:58:23+03:00,2026-06-25T11:59:34+03:00
matbench_dielectric,fastfood,Adam,0.65,65,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim65_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim65_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim65_dataseed456_modelseed456_test_results.csv,0.402,0.5693517923355103,70,success,0,2026-06-25T11:59:34+03:00,2026-06-25T12:00:44+03:00
