task,wrapper,optim,id_dim_frac,id_dim_percent,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
matbench_log_kvrh,fastfood,Adam,1.0,100,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed123_modelseed123_test_results.csv,0.069,0.07268311828374863,213,success,0,2026-06-25T11:47:12+03:00,2026-06-25T11:50:45+03:00
matbench_log_kvrh,fastfood,Adam,1.0,100,456,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed456_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed456_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed456_modelseed456_test_results.csv,0.07,0.07095077633857727,209,success,0,2026-06-25T11:50:45+03:00,2026-06-25T11:54:14+03:00
matbench_log_kvrh,fastfood,Adam,1.0,100,789,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed789_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed789_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed789_modelseed789_test_results.csv,0.061,0.06880044937133789,212,success,0,2026-06-25T11:54:14+03:00,2026-06-25T11:57:46+03:00
matbench_log_kvrh,fastfood,Adam,0.8,80,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed123_modelseed123_test_results.csv,0.071,0.08007123321294785,220,success,0,2026-06-25T11:57:46+03:00,2026-06-25T12:01:26+03:00
matbench_log_kvrh,fastfood,Adam,0.8,80,456,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed456_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed456_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed456_modelseed456_test_results.csv,0.068,0.06984111666679382,211,success,0,2026-06-25T12:01:26+03:00,2026-06-25T12:04:57+03:00
matbench_log_kvrh,fastfood,Adam,0.8,80,789,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed789_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed789_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed789_modelseed789_test_results.csv,0.062,0.07013145834207535,219,success,0,2026-06-25T12:04:58+03:00,2026-06-25T12:08:37+03:00
matbench_log_kvrh,fastfood,Adam,0.7,70,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed123_modelseed123_test_results.csv,0.073,0.07333067804574966,214,success,0,2026-06-25T12:08:38+03:00,2026-06-25T12:12:12+03:00
matbench_log_kvrh,fastfood,Adam,0.7,70,456,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed456_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed456_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed456_modelseed456_test_results.csv,0.068,0.06685125827789307,209,success,0,2026-06-25T12:12:12+03:00,2026-06-25T12:15:41+03:00
matbench_log_kvrh,fastfood,Adam,0.7,70,789,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed789_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed789_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed789_modelseed789_test_results.csv,0.062,0.07043398171663284,230,success,0,2026-06-25T12:15:41+03:00,2026-06-25T12:19:31+03:00
matbench_log_kvrh,fastfood,Adam,0.65,65,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim65_dataseed123_modelseed123_test_results.csv,0.072,0.07204705476760864,207,success,0,2026-06-25T12:19:31+03:00,2026-06-25T12:22:58+03:00
