task,wrapper,optim,id_dim_frac,id_dim_percent,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
matbench_phonons,fastfood,Adam,1.0,100,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim100_dataseed123_modelseed123_test_results.csv,68.625,79.10073852539062,29,success,0,2026-06-25T11:47:13+03:00,2026-06-25T11:47:42+03:00
matbench_phonons,fastfood,Adam,1.0,100,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim100_dataseed456_modelseed456_test_results.csv,59.069,78.30330657958984,27,success,0,2026-06-25T11:47:42+03:00,2026-06-25T11:48:09+03:00
matbench_phonons,fastfood,Adam,1.0,100,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim100_dataseed789_modelseed789_test_results.csv,56.135,79.26742553710938,25,success,0,2026-06-25T11:48:09+03:00,2026-06-25T11:48:34+03:00
matbench_phonons,fastfood,Adam,0.8,80,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim80_dataseed123_modelseed123_test_results.csv,70.504,75.97892761230469,26,success,0,2026-06-25T11:48:34+03:00,2026-06-25T11:49:00+03:00
matbench_phonons,fastfood,Adam,0.8,80,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim80_dataseed456_modelseed456_test_results.csv,60.194,76.21295928955078,25,success,0,2026-06-25T11:49:00+03:00,2026-06-25T11:49:25+03:00
matbench_phonons,fastfood,Adam,0.8,80,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim80_dataseed789_modelseed789_test_results.csv,58.632,75.60758972167969,26,success,0,2026-06-25T11:49:25+03:00,2026-06-25T11:49:51+03:00
matbench_phonons,fastfood,Adam,0.7,70,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim70_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim70_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim70_dataseed123_modelseed123_test_results.csv,69.597,75.56464385986328,25,success,0,2026-06-25T11:49:51+03:00,2026-06-25T11:50:16+03:00
matbench_phonons,fastfood,Adam,0.7,70,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim70_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim70_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim70_dataseed456_modelseed456_test_results.csv,61.394,78.17548370361328,26,success,0,2026-06-25T11:50:16+03:00,2026-06-25T11:50:42+03:00
matbench_phonons,fastfood,Adam,0.7,70,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim70_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim70_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim70_dataseed789_modelseed789_test_results.csv,60.513,72.69863891601562,26,success,0,2026-06-25T11:50:42+03:00,2026-06-25T11:51:08+03:00
matbench_phonons,fastfood,Adam,0.65,65,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim65_dataseed123_modelseed123_test_results.csv,69.481,74.95365142822266,25,success,0,2026-06-25T11:51:08+03:00,2026-06-25T11:51:33+03:00
matbench_phonons,fastfood,Adam,0.65,65,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim65_dataseed456_modelseed456_test_results.csv,63.642,82.84928894042969,26,success,0,2026-06-25T11:51:33+03:00,2026-06-25T11:51:59+03:00
matbench_phonons,fastfood,Adam,0.65,65,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim65_dataseed789_modelseed789_test_results.csv,62.015,71.15106201171875,26,success,0,2026-06-25T11:51:59+03:00,2026-06-25T11:52:25+03:00
matbench_phonons,fastfood,Adam,0.5,50,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim50_dataseed123_modelseed123_test_results.csv,70.058,75.01409149169922,25,success,0,2026-06-25T11:52:25+03:00,2026-06-25T11:52:50+03:00
matbench_phonons,fastfood,Adam,0.5,50,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim50_dataseed456_modelseed456_test_results.csv,68.296,83.03684997558594,26,success,0,2026-06-25T11:52:50+03:00,2026-06-25T11:53:16+03:00
matbench_phonons,fastfood,Adam,0.5,50,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim50_dataseed789_modelseed789_test_results.csv,62.22,74.07096099853516,26,success,0,2026-06-25T11:53:16+03:00,2026-06-25T11:53:42+03:00
matbench_phonons,fastfood,Adam,0.45,45,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim45_dataseed123_modelseed123_test_results.csv,70.754,72.59967803955078,26,success,0,2026-06-25T11:53:42+03:00,2026-06-25T11:54:08+03:00
matbench_phonons,fastfood,Adam,0.45,45,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim45_dataseed456_modelseed456_test_results.csv,69.566,82.8658218383789,25,success,0,2026-06-25T11:54:08+03:00,2026-06-25T11:54:33+03:00
matbench_phonons,fastfood,Adam,0.45,45,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim45_dataseed789_modelseed789_test_results.csv,62.303,74.07171630859375,26,success,0,2026-06-25T11:54:33+03:00,2026-06-25T11:54:59+03:00
matbench_phonons,fastfood,Adam,0.2,20,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim20_dataseed123_modelseed123_test_results.csv,72.467,80.69573211669922,26,success,0,2026-06-25T11:54:59+03:00,2026-06-25T11:55:25+03:00
matbench_phonons,fastfood,Adam,0.2,20,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim20_dataseed456_modelseed456_test_results.csv,73.452,89.4086685180664,26,success,0,2026-06-25T11:55:25+03:00,2026-06-25T11:55:51+03:00
matbench_phonons,fastfood,Adam,0.2,20,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim20_dataseed789_modelseed789_test_results.csv,71.07,82.34779357910156,25,success,0,2026-06-25T11:55:51+03:00,2026-06-25T11:56:16+03:00
