task,wrapper,id_dim,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,status,exit_code,start_time,end_time
matbench_log_kvrh,fastfood,100,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.293,0.2946169972419739,success,0,2026-05-30T18:33:00+00:00,2026-05-30T18:36:14+00:00
matbench_log_kvrh,fastfood,100,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.2969203293323517,success,0,2026-05-30T18:36:14+00:00,2026-05-30T18:39:26+00:00
matbench_log_kvrh,fastfood,100,123,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim100_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,0.294,0.29599034786224365,success,0,2026-05-30T18:39:26+00:00,2026-05-30T18:42:41+00:00
matbench_log_kvrh,fastfood,80,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.293,0.2945604622364044,success,0,2026-05-30T18:42:41+00:00,2026-05-30T18:45:57+00:00
matbench_log_kvrh,fastfood,80,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.29691261053085327,success,0,2026-05-30T18:45:57+00:00,2026-05-30T18:49:13+00:00
matbench_log_kvrh,fastfood,80,123,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim80_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,0.295,0.29692453145980835,success,0,2026-05-30T18:49:13+00:00,2026-05-30T18:52:27+00:00
matbench_log_kvrh,fastfood,70,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.293,0.29451048374176025,success,0,2026-05-30T18:52:27+00:00,2026-05-30T18:55:40+00:00
matbench_log_kvrh,fastfood,70,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.2969098389148712,success,0,2026-05-30T18:55:40+00:00,2026-05-30T18:58:57+00:00
matbench_log_kvrh,fastfood,70,123,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim70_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,0.295,0.29720592498779297,success,0,2026-05-30T18:58:57+00:00,2026-05-30T19:02:11+00:00
matbench_log_kvrh,fastfood,65,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.293,0.29458802938461304,success,0,2026-05-30T19:02:11+00:00,2026-05-30T19:05:28+00:00
matbench_log_kvrh,fastfood,65,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.2969017028808594,success,0,2026-05-30T19:05:28+00:00,2026-05-30T19:08:46+00:00
