task,method,dim_percent,id_dim,model_seed,split_seed,epochs,batch_size,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
mp_formation_energy_per_atom,fastfood,10,0.1,123,1123,350,64,0.10526442089899808,0.10628667775630474,19086,5.3017,2026-06-21T23:51:53+03:00,2026-06-22T05:09:59+03:00,predictions/eform_fastfood_dim010_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,10,0.1,456,1456,350,64,0.10103062241368656,0.10332331814496228,17667,4.9075,2026-06-21T23:52:16+03:00,2026-06-22T04:46:44+03:00,predictions/eform_fastfood_dim010_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,20,0.2,123,1123,350,64,0.0754416934007022,0.0757873377890161,19001,5.2781,2026-06-21T23:43:54+03:00,2026-06-22T05:00:35+03:00,predictions/eform_fastfood_dim020_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,20,0.2,456,1456,350,64,0.07533959974982316,0.07819321192580514,19069,5.2969,2026-06-21T23:47:48+03:00,2026-06-22T05:05:37+03:00,predictions/eform_fastfood_dim020_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,45,0.45,123,1123,350,64,0.07729680540586235,0.07744041327446592,19917,5.5325,2026-06-21T20:16:49+03:00,2026-06-22T01:48:46+03:00,predictions/eform_fastfood_dim045_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,45,0.45,456,1456,350,64,0.06231790383510626,0.06442848553056989,18631,5.1753,2026-06-21T21:13:46+03:00,2026-06-22T02:24:17+03:00,predictions/eform_fastfood_dim045_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,45,0.45,789,1789,350,64,0.07121345927032074,0.06877055340764883,20191,5.6086,2026-06-21T23:40:52+03:00,2026-06-22T05:17:22+03:00,predictions/eform_fastfood_dim045_modelseed789_splitseed1789_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,50,0.5,123,1123,350,64,0.07472429066280128,0.07410339341412968,19102,5.3061,2026-06-21T19:45:35+03:00,2026-06-22T01:03:57+03:00,predictions/eform_fastfood_dim050_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,50,0.5,456,1456,350,64,0.06926805043015165,0.07089276622783568,20086,5.5794,2026-06-21T19:45:47+03:00,2026-06-22T01:20:33+03:00,predictions/eform_fastfood_dim050_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,60,0.6,123,1123,350,64,0.07040227920267085,0.07092773645180403,19227,5.3408,2026-06-21T18:47:32+03:00,2026-06-22T00:07:59+03:00,predictions/eform_fastfood_dim060_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,60,0.6,456,1456,350,64,0.06210327446332991,0.0640740743308474,18238,5.0661,2026-06-21T18:48:15+03:00,2026-06-21T23:52:13+03:00,predictions/eform_fastfood_dim060_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,60,0.6,789,1789,350,64,0.06836709031459522,0.06721411206968717,18763,5.2119,2026-06-21T18:48:33+03:00,2026-06-22T00:01:16+03:00,predictions/eform_fastfood_dim060_modelseed789_splitseed1789_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,80,0.8,123,1123,350,64,0.0630302351567753,0.06454585889829001,18428,5.1189,2026-06-21T18:36:42+03:00,2026-06-21T23:43:50+03:00,predictions/eform_fastfood_dim080_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,80,0.8,456,1456,350,64,0.06103002630927751,0.06339736329220352,18880,5.2444,2026-06-21T18:42:09+03:00,2026-06-21T23:56:48+03:00,predictions/eform_fastfood_dim080_modelseed456_splitseed1456_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,100,1.0,123,1123,350,64,0.06988616427484212,0.06968026692890081,18889,5.2469,2026-06-21T18:32:56+03:00,2026-06-21T23:47:45+03:00,predictions/eform_fastfood_dim100_modelseed123_splitseed1123_epochs350_predictions.csv
mp_formation_energy_per_atom,fastfood,100,1.0,456,1456,350,64,0.08458531742823132,0.08682398573023843,19062,5.295,2026-06-21T18:34:08+03:00,2026-06-21T23:51:50+03:00,predictions/eform_fastfood_dim100_modelseed456_splitseed1456_epochs350_predictions.csv
