task,method,num_blocks,dim_percent,id_dim,model_seed,split_seed,epochs,batch_size,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
matbench_log_kvrh,fastfood,1,1,0.01,123,1123,120,64,0.11125629026790629,0.10895006056911594,282,0.0783,2026-06-29T16:08:53+03:00,2026-06-29T16:13:35+03:00,predictions/log_kvrh_fastfood_nb1_dim001_modelseed123_splitseed1123_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,1,0.01,456,1456,120,64,0.12768538506714694,0.11832134770621991,284,0.0789,2026-06-29T16:13:35+03:00,2026-06-29T16:18:19+03:00,predictions/log_kvrh_fastfood_nb1_dim001_modelseed456_splitseed1456_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,1,0.01,789,1789,120,64,0.11456466302970261,0.11609168905046488,285,0.0792,2026-06-29T16:18:19+03:00,2026-06-29T16:23:04+03:00,predictions/log_kvrh_fastfood_nb1_dim001_modelseed789_splitseed1789_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,2,0.02,123,1123,120,64,0.09912690680964603,0.09699223216946351,283,0.0786,2026-06-29T15:54:45+03:00,2026-06-29T15:59:28+03:00,predictions/log_kvrh_fastfood_nb1_dim002_modelseed123_splitseed1123_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,2,0.02,456,1456,120,64,0.10338864600306866,0.10559615073177481,283,0.0786,2026-06-29T15:59:28+03:00,2026-06-29T16:04:11+03:00,predictions/log_kvrh_fastfood_nb1_dim002_modelseed456_splitseed1456_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,2,0.02,789,1789,120,64,0.09829219955469301,0.10597342386250103,282,0.0783,2026-06-29T16:04:11+03:00,2026-06-29T16:08:53+03:00,predictions/log_kvrh_fastfood_nb1_dim002_modelseed789_splitseed1789_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,5,0.05,123,1123,120,64,0.09339090784100262,0.09796350031357899,288,0.08,2026-06-29T15:40:31+03:00,2026-06-29T15:45:19+03:00,predictions/log_kvrh_fastfood_nb1_dim005_modelseed123_splitseed1123_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,5,0.05,456,1456,120,64,0.09514864779303263,0.09640266427028496,283,0.0786,2026-06-29T15:45:19+03:00,2026-06-29T15:50:02+03:00,predictions/log_kvrh_fastfood_nb1_dim005_modelseed456_splitseed1456_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,5,0.05,789,1789,120,64,0.09616341916215033,0.10308388431472218,282,0.0783,2026-06-29T15:50:03+03:00,2026-06-29T15:54:45+03:00,predictions/log_kvrh_fastfood_nb1_dim005_modelseed789_splitseed1789_epochs120_predictions.csv
matbench_log_kvrh,fastfood,1,8,0.08,123,1123,120,64,0.09885847143950215,0.09407065011821532,282,0.0783,2026-06-29T15:26:26+03:00,2026-06-29T15:31:08+03:00,predictions/log_kvrh_fastfood_nb1_dim008_modelseed123_splitseed1123_epochs120_predictions.csv
