task,method,num_blocks,dim_percent,id_dim,model_seed,split_seed,epochs,batch_size,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
matbench_log_kvrh,fastfood,4,1,0.01,123,1123,210,64,0.29420390210646424,0.28400236883796526,918,0.255,2026-06-29T22:13:23+03:00,2026-06-29T22:28:40+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim001_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,1,0.01,456,1456,210,64,0.4083409437295601,0.4462886163769635,914,0.2539,2026-06-29T22:28:41+03:00,2026-06-29T22:43:55+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim001_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,1,0.01,789,1789,210,64,0.23657740862428855,0.23460084433486092,912,0.2533,2026-06-29T22:43:55+03:00,2026-06-29T22:59:07+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim001_modelseed789_splitseed1789_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,2,0.02,123,1123,210,64,0.3306656012782926,0.31321810457646515,909,0.2525,2026-06-29T21:28:03+03:00,2026-06-29T21:43:12+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim002_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,2,0.02,456,1456,210,64,0.24478763197876496,0.24417139749274688,909,0.2525,2026-06-29T21:43:12+03:00,2026-06-29T21:58:21+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim002_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,2,0.02,789,1789,210,64,0.2972106303069291,0.2886495559909779,902,0.2506,2026-06-29T21:58:21+03:00,2026-06-29T22:13:23+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim002_modelseed789_splitseed1789_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,5,0.05,123,1123,210,64,0.3409532162350465,0.34096837404852404,915,0.2542,2026-06-29T20:42:10+03:00,2026-06-29T20:57:25+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim005_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,5,0.05,456,1456,210,64,0.2825853190649659,0.2816287940183699,931,0.2586,2026-06-29T20:57:25+03:00,2026-06-29T21:12:56+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim005_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,5,0.05,789,1789,210,64,0.25302843013166737,0.25256481073298104,906,0.2517,2026-06-29T21:12:56+03:00,2026-06-29T21:28:02+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim005_modelseed789_splitseed1789_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,8,0.08,123,1123,210,64,0.28688217608028876,0.29339448790223466,901,0.2503,2026-06-29T19:56:56+03:00,2026-06-29T20:11:57+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim008_modelseed123_splitseed1123_epochs210_predictions.csv
