id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.3472611289471388,0.4030819138655462,mae,0.4031,test,exact,1.8086134453809688e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim100_modelseed123_splitseed1123_epochs150
100.0,234,0.22575172994818007,0.3644303361344538,mae,0.3644,test,exact,3.0336134453801122e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim100_modelseed234_splitseed1234_epochs150
100.0,456,0.23992905659335,0.2531251176470588,mae,0.2531,test,exact,2.5117647058814363e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim100_modelseed456_splitseed1456_epochs150
100.0,567,0.4073180726596287,0.33983211344537817,mae,0.3398,test,exact,3.211344537817906e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim100_modelseed567_splitseed1567_epochs150
100.0,789,0.4376785587519407,0.26084561974789916,mae,0.2608,test,exact,4.561974789918377e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim100_modelseed789_splitseed1789_epochs150
80.0,123,0.3395147783947842,0.3546318214285714,mae,0.3546,test,exact,3.182142857138803e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim80_modelseed123_splitseed1123_epochs150
80.0,234,0.22453590695347106,0.33775282142857144,mae,0.3378,test,exact,4.7178571428552196e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim80_modelseed234_splitseed1234_epochs150
80.0,456,0.25206168022538933,0.26486014705882355,mae,0.2649,test,exact,3.9852941176476975e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim80_modelseed456_splitseed1456_epochs150
80.0,567,0.40051487061594215,0.33166957142857145,mae,0.3317,test,exact,3.0428571428542384e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim80_modelseed567_splitseed1567_epochs150
80.0,789,0.44769324734807014,0.26164858823529413,mae,0.2616,test,exact,4.8588235294133586e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim80_modelseed789_splitseed1789_epochs150
60.0,123,0.3435646779835224,0.3935870840336135,mae,0.3936,test,exact,1.2915966386528588e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim60_modelseed123_splitseed1123_epochs150
60.0,234,0.23435483766453608,0.3273766911764706,mae,0.3274,test,exact,2.3308823529410994e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim60_modelseed234_splitseed1234_epochs150
60.0,456,0.24875627351658686,0.25421538025210083,mae,0.2542,test,exact,1.538025210084948e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim60_modelseed456_splitseed1456_epochs150
60.0,567,0.4044366657201733,0.32724065756302523,mae,0.3272,test,exact,4.065756302523704e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim60_modelseed567_splitseed1567_epochs150
60.0,789,0.4436001083148377,0.26422217436974793,mae,0.2642,test,exact,2.2174369747940403e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim60_modelseed789_splitseed1789_epochs150
40.0,123,0.35723716153630186,0.3740220693277311,mae,0.374,test,exact,2.2069327731077948e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim40_modelseed123_splitseed1123_epochs150
40.0,234,0.22179910074919462,0.3216591218487395,mae,0.3217,test,exact,4.087815126047056e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim40_modelseed234_splitseed1234_epochs150
40.0,456,0.24557489050286158,0.2402730357142857,mae,0.2403,test,exact,2.696428571430376e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim40_modelseed456_splitseed1456_epochs150
40.0,567,0.40230222658387255,0.33349243277310925,mae,0.3335,test,exact,7.567226890770051e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim40_modelseed567_splitseed1567_epochs150
40.0,789,0.44575696917516844,0.2551079747899159,mae,0.2551,test,exact,7.974789915932146e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim40_modelseed789_splitseed1789_epochs150
20.0,123,0.37068607631538597,0.39419255462184877,mae,0.3942,test,exact,7.4453781512273665e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim20_modelseed123_splitseed1123_epochs150
20.0,234,0.21751505030053003,0.31176516176470587,mae,0.3118,test,exact,3.483823529415453e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim20_modelseed234_splitseed1234_epochs150
20.0,456,0.2590560003050736,0.2669819327731092,mae,0.267,test,exact,1.806722689079443e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim20_modelseed456_splitseed1456_epochs150
20.0,567,0.42303333138780935,0.3277508928571428,mae,0.3278,test,exact,4.910714285716322e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim20_modelseed567_splitseed1567_epochs150
20.0,789,0.44011841740991386,0.26715325840336135,mae,0.2672,test,exact,4.674159663864419e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim20_modelseed789_splitseed1789_epochs150
15.0,123,0.36625332704612185,0.36805976260504203,mae,0.3681,test,exact,4.0237394957953754e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim15_modelseed123_splitseed1123_epochs150
15.0,234,0.21970548746841295,0.30342078991596644,mae,0.3034,test,exact,2.078991596643487e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim15_modelseed234_splitseed1234_epochs150
15.0,456,0.2600523318563189,0.2620056449579832,mae,0.262,test,exact,5.644957983164112e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim15_modelseed456_splitseed1456_epochs150
15.0,567,0.42652792536786627,0.3265845105042017,mae,0.3266,test,exact,1.548949579832648e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim15_modelseed567_splitseed1567_epochs150
15.0,789,0.4459380589957748,0.2604540462184874,mae,0.2605,test,exact,4.595378151261986e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim15_modelseed789_splitseed1789_epochs150
10.0,123,0.3714274412819317,0.3739848382352941,mae,0.374,test,exact,1.5161764705895475e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim10_modelseed123_splitseed1123_epochs150
10.0,234,0.22768100856670312,0.3195053151260504,mae,0.3195,test,exact,5.315126050398078e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim10_modelseed234_splitseed1234_epochs150
10.0,456,0.2632219988320555,0.2584056491596639,mae,0.2584,test,exact,5.64915966388968e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim10_modelseed456_splitseed1456_epochs150
10.0,567,0.4393793639859983,0.3389248487394958,mae,0.3389,test,exact,2.484873949581967e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim10_modelseed567_splitseed1567_epochs150
10.0,789,0.4609780487205301,0.28036908403361344,mae,0.2804,test,exact,3.091596638654659e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim10_modelseed789_splitseed1789_epochs150
5.0,123,0.3755477275699377,0.39211202100840337,mae,0.3921,test,exact,1.2021008403362288e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim5_modelseed123_splitseed1123_epochs150
5.0,234,0.24557912216654845,0.3232185420168067,mae,0.3232,test,exact,1.8542016806732953e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim5_modelseed234_splitseed1234_epochs150
5.0,456,0.2770180750106062,0.2823604432773109,mae,0.2824,test,exact,3.95567226890714e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim5_modelseed456_splitseed1456_epochs150
5.0,567,0.4524236427886145,0.352828993697479,mae,0.3528,test,exact,2.899369747899616e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim5_modelseed567_splitseed1567_epochs150
5.0,789,0.4680075823728527,0.2856668214285714,mae,0.2857,test,exact,3.3178571428593706e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim5_modelseed789_splitseed1789_epochs150
2.0,123,0.38834528172654764,0.39270471218487396,mae,0.3927,test,exact,4.7121848739672956e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim2_modelseed123_splitseed1123_epochs150
2.0,234,0.27013931503253324,0.34941860294117644,mae,0.3494,test,exact,1.8602941176448784e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim2_modelseed234_splitseed1234_epochs150
2.0,456,0.31054945529571604,0.30742669537815126,mae,0.3074,test,exact,2.6695378151253557e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim2_modelseed456_splitseed1456_epochs150
2.0,567,0.4732272994837591,0.3726359117647059,mae,0.3726,test,exact,3.591176470590929e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim2_modelseed567_splitseed1567_epochs150
2.0,789,0.48053302323179586,0.3057424789915967,mae,0.3057,test,exact,4.2478991596650584e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim2_modelseed789_splitseed1789_epochs150
1.0,123,0.4068295458065612,0.4139765651260504,mae,0.414,test,exact,2.3434873949568225e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim1_modelseed123_splitseed1123_epochs150
1.0,234,0.28270662150212694,0.3679101701680672,mae,0.3679,test,exact,1.0170168067202834e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim1_modelseed234_splitseed1234_epochs150
1.0,456,0.32331660895475317,0.3153219411764706,mae,0.3153,test,exact,2.1941176470585688e-05,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim1_modelseed456_splitseed1456_epochs150
1.0,567,0.4918199506189142,0.39760945798319325,mae,0.3976,test,exact,9.457983193239539e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim1_modelseed567_splitseed1567_epochs150
1.0,789,0.4953399422977652,0.32359628781512606,mae,0.3236,test,exact,3.71218487393854e-06,ALIGNN/ALIGNN_MP/results_alignn_dielectric_fastfood/alignn_dielectric_fastfood_dim1_modelseed789_splitseed1789_epochs150
