id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.09046608512835519,0.08486658587167854,mae,0.09047,val,exact,3.91487164480564e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim100_seed123_epochs350
100.0,123,0.08841879311694356,0.09307593000648089,mae,0.08842,val,exact,1.2068830564371247e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim100_seed123_epochs350
100.0,123,0.09062839551548525,0.08907557485418018,mae,0.09063,val,exact,1.6044845147500375e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim100_seed123_epochs350
100.0,456,0.08208661485893269,0.09741437070641606,mae,0.08209,val,exact,3.385141067305253e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim100_seed456_epochs350
100.0,456,0.08569836423688078,0.09706800453661699,mae,0.0857,val,exact,1.6357631192204236e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim100_seed456_epochs350
100.0,456,0.08121249724577713,0.08227366234607907,mae,0.08121,val,exact,2.4972457771249568e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim100_seed456_epochs350
80.0,123,0.09233660863628756,0.08434456966947504,mae,0.09234,val,exact,3.3913637124405316e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim80_seed123_epochs350
80.0,123,0.08652608877067298,0.0856156286454958,mae,0.08653,val,exact,3.911229327011045e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim80_seed123_epochs350
80.0,123,0.09269234891291944,0.08877945042125729,mae,0.09269,val,exact,2.34891291944761e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim80_seed123_epochs350
80.0,456,0.08202871253630899,0.0898341036941024,mae,0.08203,val,exact,1.287463691018731e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim80_seed456_epochs350
80.0,456,0.09090108939214285,0.09013258068697343,mae,0.0909,val,exact,1.0893921428556386e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim80_seed456_epochs350
80.0,456,0.08211914807304765,0.08965475178224237,mae,0.08212,val,exact,8.519269523443729e-07,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim80_seed456_epochs350
60.0,123,0.0901592119101527,0.08477161438755672,mae,0.09016,val,exact,7.880898472978348e-07,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim60_seed123_epochs350
60.0,123,0.08883829214695045,0.08650850226830849,mae,0.08884,val,exact,1.7078530495512334e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim60_seed123_epochs350
60.0,123,0.08825902730772366,0.08799360337005832,mae,0.08826,val,exact,9.726922763492185e-07,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim60_seed123_epochs350
60.0,456,0.0821180872643102,0.09555905573558003,mae,0.08212,val,exact,1.9127356897935544e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim60_seed456_epochs350
60.0,456,0.08522448739025397,0.09619845560596242,mae,0.08522,val,exact,4.487390253965495e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim60_seed456_epochs350
60.0,456,0.08576161451859814,0.09138072326636423,mae,0.08576,val,exact,1.614518598133663e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim60_seed456_epochs350
50.0,123,0.09430176512190276,0.0847081587815943,mae,0.0943,val,exact,1.7651219027664533e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim50_seed123_epochs350
50.0,123,0.0884617048529132,0.0928681425793908,mae,0.08846,val,exact,1.7048529132035473e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim50_seed123_epochs350
50.0,123,0.09166316296064754,0.08661731561892418,mae,0.08662,test,exact,2.6843810758264697e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_3/alignn_eform_fastfood_eform_p10_3_dim50_seed123_epochs350
50.0,456,0.08054594592325277,0.09287009980557356,mae,0.08055,val,exact,4.054076747223023e-06,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_1/alignn_eform_fastfood_eform_p10_1_dim50_seed456_epochs350
50.0,456,0.08661727417302245,0.09455249513933894,mae,0.09166,test,close,0.002892495139338938,ALIGNN/ALIGNN_MP/results_alignn_eform_partitions_fastfood/eform_p10_2/alignn_eform_fastfood_eform_p10_2_dim50_seed456_epochs350
