id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,101,,0.9494141092255798,auc,0.94941,test,exact,4.109225579806974e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim100_modelseed101_splitseed1101_epochs300
100.0,202,,0.949439789809408,auc,0.94944,test,exact,2.1019059193161382e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim100_modelseed202_splitseed1202_epochs300
100.0,303,,0.9455175895994368,auc,0.94552,test,exact,2.4104005632574754e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim100_modelseed303_splitseed1303_epochs300
100.0,404,,0.9508823941552893,auc,0.95088,test,exact,2.3941552893536056e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim100_modelseed404_splitseed1404_epochs300
80.0,101,,0.9486009633001994,auc,0.9486,test,exact,9.633001993858414e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim80_modelseed101_splitseed1101_epochs300
80.0,202,,0.9477975584418699,auc,0.9478,test,exact,2.4415581301173717e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim80_modelseed202_splitseed1202_epochs300
80.0,303,,0.9465296464793745,auc,0.94653,test,exact,3.535206254401402e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim80_modelseed303_splitseed1303_epochs300
80.0,404,,0.9502609287173719,auc,0.95026,test,exact,9.287173718952602e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim80_modelseed404_splitseed1404_epochs300
60.0,101,,0.9440996055875459,auc,0.9441,test,exact,3.9441245414106874e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim60_modelseed101_splitseed1101_epochs300
60.0,202,,0.9487965769563318,auc,0.9488,test,exact,3.4230436681825793e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim60_modelseed202_splitseed1202_epochs300
60.0,303,,0.9449696168299373,auc,0.94497,test,exact,3.8317006267885034e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim60_modelseed303_splitseed1303_epochs300
60.0,404,,0.9504961926113362,auc,0.9505,test,exact,3.8073886637901566e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim60_modelseed404_splitseed1404_epochs300
40.0,101,,0.9491184805760721,auc,0.94912,test,exact,1.519423927898167e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim40_modelseed101_splitseed1101_epochs300
40.0,202,,0.9479341025886041,auc,0.94793,test,exact,4.102588604060209e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim40_modelseed202_splitseed1202_epochs300
40.0,303,,0.9465359232485326,auc,0.94654,test,exact,4.076751467407824e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim40_modelseed303_splitseed1303_epochs300
40.0,404,,0.9464606621415981,auc,0.94646,test,exact,6.621415981067358e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim40_modelseed404_splitseed1404_epochs300
20.0,101,,0.949513959107444,auc,0.94951,test,exact,3.959107443995968e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim20_modelseed101_splitseed1101_epochs300
20.0,202,,0.952202542675192,auc,0.9522,test,exact,2.5426751919521706e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim20_modelseed202_splitseed1202_epochs300
20.0,303,,0.9496699790211617,auc,0.94967,test,exact,2.097883833318548e-08,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim20_modelseed303_splitseed1303_epochs300
20.0,404,,0.9496807316213619,auc,0.94968,test,exact,7.316213619379397e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim20_modelseed404_splitseed1404_epochs300
15.0,101,,0.9503175103373359,auc,0.95032,test,exact,2.489662664140191e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim15_modelseed101_splitseed1101_epochs300
15.0,202,,0.951439795009714,auc,0.95144,test,exact,2.0499028596798752e-07,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim15_modelseed202_splitseed1202_epochs300
15.0,303,,0.9496425271744423,auc,0.94964,test,exact,2.527174442268354e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim15_modelseed303_splitseed1303_epochs300
15.0,404,,0.9532555678458772,auc,0.95326,test,exact,4.432154122824272e-06,ALIGNN/ALIGNN_MP/results_alignn_is_metal_fastfood/alignn_is_metal_fastfood_dim15_modelseed404_splitseed1404_epochs300
