id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.07526014070026577,0.08728167759562842,mae,0.0873,test,exact,1.832240437157906e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_1_s123/alignn_log_kvrh_ft_kvrh_quarter_1_s123_fastfood_dim100_modelseed123_epochs180
100.0,123,0.08859803806990385,0.08725559107468124,mae,0.0873,test,exact,4.440892531876184e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_2_s123/alignn_log_kvrh_ft_kvrh_quarter_2_s123_fastfood_dim100_modelseed123_epochs180
100.0,456,0.08408231241628528,0.08498381602914391,mae,0.085,test,exact,1.618397085609291e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_1_s456/alignn_log_kvrh_ft_kvrh_quarter_1_s456_fastfood_dim100_modelseed456_epochs180
100.0,456,0.085561593179591,0.08786436156648453,mae,0.0879,test,exact,3.563843351547802e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_2_s456/alignn_log_kvrh_ft_kvrh_quarter_2_s456_fastfood_dim100_modelseed456_epochs180
80.0,123,0.08362348168157041,0.08563650546448087,mae,0.0856,test,exact,3.650546448087655e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_1_s123/alignn_log_kvrh_ft_kvrh_quarter_1_s123_fastfood_dim80_modelseed123_epochs180
80.0,123,0.09206663747318089,0.09248441803278688,mae,0.0925,test,exact,1.5581967213115777e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_2_s123/alignn_log_kvrh_ft_kvrh_quarter_2_s123_fastfood_dim80_modelseed123_epochs180
80.0,456,0.08915570471435785,0.08838067304189436,mae,0.0884,test,exact,1.9326958105650438e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_1_s456/alignn_log_kvrh_ft_kvrh_quarter_1_s456_fastfood_dim80_modelseed456_epochs180
80.0,456,0.0871474159648642,0.08647157103825137,mae,0.0865,test,exact,2.8428961748622195e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_2_s456/alignn_log_kvrh_ft_kvrh_quarter_2_s456_fastfood_dim80_modelseed456_epochs180
70.0,123,0.08361080777831376,0.08951702732240438,mae,0.0895,test,exact,1.702732240438376e-05,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_1_s123/alignn_log_kvrh_ft_kvrh_quarter_1_s123_fastfood_dim70_modelseed123_epochs180
70.0,123,0.09066660772077739,0.08720939071038251,mae,0.0872,test,exact,9.390710382514711e-06,ALIGNN/ALIGNN_MP/results_alignn_log_kvrh_fixedtest_fastfood/kvrh_quarter_2_s123/alignn_log_kvrh_ft_kvrh_quarter_2_s123_fastfood_dim70_modelseed123_epochs180
