id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,314,0.33,0.3300182819366455,mae,0.33,val,exact,0.0,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed314_modelseed314
100.0,33221,0.326,0.34786564111709595,mae,0.3479,test,exact,3.435888290403977e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed33221_modelseed33221
100.0,628,0.331,0.32845833897590637,mae,0.3285,test,exact,4.166102409364214e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed628_modelseed628
100.0,942,0.334,0.3301883935928345,mae,0.3302,test,exact,1.160640716552086e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed942_modelseed942
80.0,314,0.337,0.34163764119148254,mae,0.3416,test,exact,3.76411914825292e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed314_modelseed314
80.0,33221,0.332,0.3413052558898926,mae,0.3413,test,exact,5.255889892585852e-06,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed33221_modelseed33221
80.0,628,0.34,0.33297690749168396,mae,0.333,test,exact,2.3092508316058247e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed628_modelseed628
80.0,942,0.336,0.33231523633003235,mae,0.3323,test,exact,1.5236330032364354e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed942_modelseed942
60.0,314,0.354,0.3574071228504181,mae,0.3574,test,exact,7.12285041809535e-06,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed314_modelseed314
60.0,33221,0.345,0.35407713055610657,mae,0.3541,test,exact,2.2869443893458463e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed33221_modelseed33221
60.0,628,0.353,0.36177024245262146,mae,0.3618,test,exact,2.975754737855052e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed628_modelseed628
60.0,942,0.352,0.3500315248966217,mae,0.35,test,exact,3.1524896621726306e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed942_modelseed942
50.0,314,0.359,0.363232284784317,mae,0.3632,test,exact,3.2284784316993775e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed314_modelseed314
50.0,33221,0.358,0.36376646161079407,mae,0.3638,test,exact,3.3538389205944874e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed33221_modelseed33221
50.0,628,0.367,0.3569566011428833,mae,0.357,test,exact,4.339885711668323e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed628_modelseed628
50.0,942,0.36,0.3559459149837494,mae,0.3559,test,exact,4.591498374939551e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed942_modelseed942
40.0,314,0.376,0.37898963689804077,mae,0.379,test,exact,1.0363101959232068e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim40_dataseed314_modelseed314
40.0,33221,0.372,0.37467241287231445,mae,0.3747,test,exact,2.7587127685524404e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim40_dataseed33221_modelseed33221
40.0,628,0.38,0.3888596296310425,mae,0.3889,test,exact,4.037036895754298e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim40_dataseed628_modelseed628
40.0,942,0.374,0.37028104066848755,mae,0.3703,test,exact,1.8959331512469202e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim40_dataseed942_modelseed942
20.0,314,0.429,0.4374878406524658,mae,0.4375,test,exact,1.2159347534179688e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed314_modelseed314
20.0,33221,0.426,0.4287235140800476,mae,0.4287,test,exact,2.351408004758193e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed33221_modelseed33221
20.0,628,0.434,0.4235037565231323,mae,0.4235,test,exact,3.7565231323366532e-06,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed628_modelseed628
20.0,942,0.421,0.4288899898529053,mae,0.4289,test,exact,1.0010147094730026e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed942_modelseed942
10.0,314,0.471,0.4869597256183624,mae,0.487,test,exact,4.0274381637561696e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed314_modelseed314
10.0,33221,0.475,0.4838270843029022,mae,0.4838,test,exact,2.7084302902213864e-05,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed33221_modelseed33221
10.0,628,0.475,0.46530067920684814,mae,0.4653,test,exact,6.792068481531466e-07,CGCNN/CGCNN_Matbench/results_mp_bandgap_onecycle_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed628_modelseed628
