id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.498,0.4975720942020416,mae,0.4976,test,exact,2.790579795836079e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed123_modelseed123
100.0,14236,0.45,0.6442136168479919,mae,0.6442,test,exact,1.361684799194851e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed14236_modelseed14236
100.0,1964,0.433,0.44529977440834045,mae,0.4453,test,exact,2.2559165951951954e-07,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed1964_modelseed1964
100.0,234,0.435,0.4895890951156616,mae,0.4896,test,exact,1.0904884338358567e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed234_modelseed234
100.0,456,0.367,0.44979435205459595,mae,0.4498,test,exact,5.647945404030352e-06,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed456_modelseed456
100.0,567,0.447,0.571380078792572,mae,0.5714,test,exact,1.9921207427997523e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed567_modelseed567
100.0,629,0.467,0.4072205126285553,mae,0.4072,test,exact,2.0512628555291457e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed629_modelseed629
100.0,789,0.602,0.5141395926475525,mae,0.5141,test,exact,3.959264755248881e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed789_modelseed789
100.0,82738,0.486,0.5129863619804382,mae,0.513,test,exact,1.3638019561779124e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed82738_modelseed82738
100.0,9809,0.44,0.5835323333740234,mae,0.5835,test,exact,3.233337402341885e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim100_dataseed9809_modelseed9809
80.0,123,0.455,0.4576307237148285,mae,0.4576,test,exact,3.072371482848446e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed123_modelseed123
80.0,14236,0.46,0.565950334072113,mae,0.566,test,exact,4.966592788691049e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed14236_modelseed14236
80.0,1964,0.45,0.4358493983745575,mae,0.4358,test,exact,4.939837455747442e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed1964_modelseed1964
80.0,234,0.431,0.5365345478057861,mae,0.5365,test,exact,3.4547805786155905e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed234_modelseed234
80.0,456,0.428,0.5012158751487732,mae,0.5012,test,exact,1.5875148773214498e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed456_modelseed456
80.0,567,0.464,0.803424596786499,mae,0.8034,test,exact,2.4596786499020418e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed567_modelseed567
80.0,629,0.429,0.40724754333496094,mae,0.4072,test,exact,4.7543334960931105e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed629_modelseed629
80.0,789,0.59,0.4921080470085144,mae,0.4921,test,exact,8.047008514422416e-06,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed789_modelseed789
80.0,82738,0.483,0.5898404121398926,mae,0.5898,test,exact,4.0412139892587184e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed82738_modelseed82738
80.0,9809,0.454,0.6005675196647644,mae,0.6006,test,exact,3.248033523561844e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim80_dataseed9809_modelseed9809
60.0,123,0.467,0.466726690530777,mae,0.4667,test,exact,2.669053077697381e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim60_dataseed123_modelseed123
60.0,14236,0.438,0.8507710695266724,mae,0.438,val,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_dielectric_5seed_fastfood/cgcnn_matbench_dielectric_fastfood_dim60_dataseed14236_modelseed14236
60.0,14236,0.482,0.8022584915161133,mae,0.8023,test,exact,4.1508483886731895e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim60_dataseed14236_modelseed14236
60.0,234,0.414,0.5321407914161682,mae,0.5321,test,exact,4.079141616819548e-05,CGCNN/CGCNN_Matbench/results_matbench_dielectric_onecycle_fastfood/cgcnn_matbench_dielectric_onecycle_lr0.1_pct0.3_fastfood_dim60_dataseed234_modelseed234
