id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,,,,mae,0.0526,,unmatched,0.004684396034479142,CGCNN/CGCNN_Matbench/results_2layer_fastfood/eform/cgcnn_2layer_eform_fastfood_dim100_dataseed253_modelseed253
100.0,,,,mae,0.0526,,unmatched,0.0056088379979133615,CGCNN/CGCNN_Matbench/results_2layer_fastfood/eform/cgcnn_2layer_eform_fastfood_dim100_dataseed768_modelseed768
100.0,,,,mae,0.0519,,unmatched,nan,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed768_modelseed768
100.0,,,,mae,0.0537,,unmatched,nan,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed1653_modelseed1653
80.0,1653,0.052,0.053079117089509964,mae,0.0531,test,exact,2.0882910490037376e-05,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed1653_modelseed1653
80.0,253,0.053,0.05547390505671501,mae,0.0555,test,exact,2.6094943284989125e-05,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed253_modelseed253
80.0,5789,0.053,0.05383952334523201,mae,0.0538,test,exact,3.952334523200929e-05,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed5789_modelseed5789
80.0,768,0.054,0.05339943617582321,mae,0.0534,test,exact,5.638241767913499e-07,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed768_modelseed768
60.0,5789,0.055,0.055992815643548965,mae,0.055,val,exact,0.0,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed5789_modelseed5789
60.0,82738,0.057,0.06941070407629013,mae,0.056,val,close,0.0010000000000000009,CGCNN/CGCNN_Matbench/results_mp_eform_custom_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed82738_modelseed82738
60.0,,,,mae,0.0558,,unmatched,nan,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1653_modelseed1653
60.0,,,,mae,0.0556,,unmatched,nan,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed768_modelseed768
50.0,1653,0.056,0.05893665924668312,mae,0.0589,test,exact,3.665924668311976e-05,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed1653_modelseed1653
50.0,253,0.055,0.057231832295656204,mae,0.0572,test,exact,3.183229565620338e-05,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed253_modelseed253
50.0,5789,0.058,0.05730776861310005,mae,0.0573,test,exact,7.76861310005511e-06,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed5789_modelseed5789
50.0,768,0.058,0.057301733642816544,mae,0.0573,test,exact,1.7336428165468099e-06,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed768_modelseed768
40.0,1653,0.06,0.08883364498615265,mae,0.0598,val,exact,0.0001999999999999988,CGCNN/CGCNN_Matbench/results_mp_eform_custom_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed1653_modelseed1653
40.0,5789,0.06,0.05977641046047211,mae,0.0594,test,close,0.0003764104604721055,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed5789_modelseed5789
40.0,,,,mae,0.0596,,unmatched,nan,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed1653_modelseed1653
40.0,,,,mae,0.0589,,unmatched,nan,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed768_modelseed768
20.0,1653,0.069,0.07306548207998276,mae,0.0731,test,exact,3.4517920017240744e-05,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed1653_modelseed1653
20.0,253,0.069,0.07050769776105881,mae,0.0705,test,exact,7.697761058814145e-06,CGCNN/CGCNN_Matbench/results_mp_eform_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed253_modelseed253
