id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,101,0.957,0.9436548552677212,auc,0.94365,test,exact,4.8552677212043704e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim100_dataseed101_modelseed101
100.0,202,0.957,0.918446523330739,auc,0.91845,test,exact,3.4766692610377348e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim100_dataseed202_modelseed202
100.0,303,0.956,0.8559417636924944,auc,0.95594,val,exact,5.999999999994898e-05,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim100_dataseed303_modelseed303
100.0,404,0.957,0.9302905479323683,auc,0.93029,test,exact,5.479323683665882e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim100_dataseed404_modelseed404
80.0,101,0.957,0.9166663813103672,auc,0.91667,test,exact,3.618689632833849e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim80_dataseed101_modelseed101
80.0,303,0.955,0.951169495413391,auc,0.95117,test,exact,5.045866089403717e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim80_dataseed303_modelseed303
80.0,404,0.957,0.9559229029083057,auc,0.95454,test,exact,0.001382902908305672,CGCNN/CGCNN_Matbench/results_mp_is_metal_onecycle_fastfood/cgcnn_mp_is_metal_fastfood_dim80_dataseed404_modelseed404
80.0,404,0.956,0.9523963318818289,auc,0.9524,test,exact,3.6681181710962463e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim80_dataseed404_modelseed404
60.0,101,0.957,0.9278706679151152,auc,0.92787,test,exact,6.679151152155782e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim60_dataseed101_modelseed101
60.0,202,0.956,0.9454032254917427,auc,0.9454,test,exact,3.225491742697706e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim60_dataseed202_modelseed202
60.0,303,0.955,0.9527357307595279,auc,0.95274,test,exact,4.269240472143387e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim60_dataseed303_modelseed303
60.0,404,0.957,0.9557210622538495,auc,0.95572,test,exact,1.0622538494375888e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim60_dataseed404_modelseed404
40.0,101,0.957,0.9518179539906915,auc,0.95182,test,exact,2.0460093085317155e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim40_dataseed101_modelseed101
40.0,202,0.955,0.9524254490091191,auc,0.95243,test,exact,4.550990880924921e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim40_dataseed202_modelseed202
40.0,303,0.955,0.9510400270067934,auc,0.95104,test,exact,2.7006793357209347e-08,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim40_dataseed303_modelseed303
40.0,404,0.956,0.9559757175833534,auc,0.95598,test,exact,4.2824166466282065e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim40_dataseed404_modelseed404
20.0,101,0.953,0.950609309123528,auc,0.95061,test,exact,6.908764719204541e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim20_dataseed101_modelseed101
20.0,202,0.953,0.9499822847735542,auc,0.94998,test,exact,2.284773554128705e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim20_dataseed202_modelseed202
20.0,303,0.952,0.9520019870843499,auc,0.952,val,exact,0.0,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim20_dataseed303_modelseed303
20.0,404,0.954,0.9539197298536742,auc,0.95392,test,exact,2.7014632575372843e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim20_dataseed404_modelseed404
15.0,101,0.953,0.9498965194693398,auc,0.9499,test,exact,3.4805306601271013e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim15_dataseed101_modelseed101
15.0,202,0.951,0.9467118456518261,auc,0.94671,test,exact,1.8456518260379084e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim15_dataseed202_modelseed202
15.0,303,0.949,0.9491791503804695,auc,0.94918,test,exact,8.496195305074394e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim15_dataseed303_modelseed303
15.0,404,0.952,0.9524527857201376,auc,0.95245,test,exact,2.785720137565839e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim15_dataseed404_modelseed404
10.0,101,0.948,0.9446632460820716,auc,0.94466,test,exact,3.2460820715840555e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim10_dataseed101_modelseed101
10.0,202,0.947,0.9433612448887527,auc,0.94336,test,exact,1.244888752749418e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim10_dataseed202_modelseed202
10.0,303,0.946,0.94640026828203,auc,0.9464,test,exact,2.6828203003592677e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim10_dataseed303_modelseed303
10.0,404,0.949,0.948989803957614,auc,0.94899,test,exact,1.960423859914684e-07,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim10_dataseed404_modelseed404
5.0,101,0.941,0.9370832798741079,auc,0.93708,test,exact,3.2798741078643445e-06,CGCNN/CGCNN_Matbench/results_mp_is_metal_fastfood/cgcnn_mp_is_metal_fastfood_dim5_dataseed101_modelseed101
