id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.069,0.07268311828374863,mae,0.07268311828374863,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed123_modelseed123
100.0,456,0.07,0.07095077633857727,mae,0.07095077633857727,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed456_modelseed456
100.0,789,0.061,0.06880044937133789,mae,0.06880044937133789,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim100_dataseed789_modelseed789
80.0,123,0.071,0.08007123321294785,mae,0.08007123321294785,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed123_modelseed123
80.0,456,0.068,0.06984111666679382,mae,0.06984111666679382,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed456_modelseed456
80.0,789,0.062,0.07013145834207535,mae,0.07013145834207535,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim80_dataseed789_modelseed789
70.0,123,0.073,0.07333067804574966,mae,0.07333067804574966,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed123_modelseed123
70.0,456,0.068,0.06685125827789307,mae,0.06685125827789307,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed456_modelseed456
70.0,789,0.062,0.07043398171663284,mae,0.07043398171663284,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim70_dataseed789_modelseed789
65.0,123,0.072,0.07204705476760864,mae,0.07204705476760864,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_dataseed123_modelseed123
65.0,456,0.067,0.06670695543289185,mae,0.06670695543289185,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_dataseed456_modelseed456
65.0,789,0.062,0.07123696058988571,mae,0.07123696058988571,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_dataseed789_modelseed789
50.0,123,0.073,0.07685939222574234,mae,0.07685939222574234,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_dataseed123_modelseed123
50.0,456,0.07,0.07303506135940552,mae,0.07303506135940552,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_dataseed456_modelseed456
50.0,789,0.064,0.06852488964796066,mae,0.06852488964796066,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_dataseed789_modelseed789
45.0,123,0.074,0.079464852809906,mae,0.079464852809906,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_dataseed123_modelseed123
45.0,456,0.072,0.07330406457185745,mae,0.07330406457185745,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_dataseed456_modelseed456
45.0,789,0.064,0.06821898370981216,mae,0.06821898370981216,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_dataseed789_modelseed789
20.0,123,0.074,0.07770940661430359,mae,0.07770940661430359,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_dataseed123_modelseed123
20.0,456,0.073,0.07196283340454102,mae,0.07196283340454102,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_dataseed456_modelseed456
20.0,789,0.069,0.07195065915584564,mae,0.07195065915584564,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_dataseed789_modelseed789
10.0,123,0.077,0.08173101395368576,mae,0.08173101395368576,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim10_dataseed123_modelseed123
10.0,456,0.077,0.07486457377672195,mae,0.07486457377672195,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim10_dataseed456_modelseed456
10.0,789,0.07,0.07685919106006622,mae,0.07685919106006622,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim10_dataseed789_modelseed789
8.0,123,0.077,0.08166712522506714,mae,0.08166712522506714,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim8_dataseed123_modelseed123
8.0,456,0.078,0.07684125751256943,mae,0.07684125751256943,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim8_dataseed456_modelseed456
8.0,789,0.073,0.078253835439682,mae,0.078253835439682,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim8_dataseed789_modelseed789
5.0,123,0.079,0.08406507223844528,mae,0.08406507223844528,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim5_dataseed123_modelseed123
5.0,456,0.083,0.07978949695825577,mae,0.07978949695825577,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim5_dataseed456_modelseed456
5.0,789,0.076,0.07799478620290756,mae,0.07799478620290756,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim5_dataseed789_modelseed789
2.0,123,0.094,0.08890971541404724,mae,0.08890971541404724,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim2_dataseed123_modelseed123
2.0,456,0.097,0.08818990737199783,mae,0.08818990737199783,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim2_dataseed456_modelseed456
2.0,789,0.09,0.0901990756392479,mae,0.0901990756392479,test,exact,0.0,CGCNN/CGCNN_Matbench/results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim2_dataseed789_modelseed789
