id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,99.846,100.55546569824219,mae,100.56,test,exact,0.004534301757814774,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed123_modelseed123
100.0,135,115.484,145.05784606933594,mae,145.06,test,exact,0.0021539306640647737,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed135_modelseed135
100.0,234,99.633,110.83193969726562,mae,110.83,test,exact,0.0019396972656267053,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed234_modelseed234
100.0,345,129.036,120.27839660644531,mae,120.28,test,exact,0.0016033935546886369,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed345_modelseed345
100.0,456,83.591,115.24781799316406,mae,115.25,test,exact,0.0021820068359375,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed456_modelseed456
100.0,567,89.758,81.12934875488281,mae,81.13,test,exact,0.0006512451171829525,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed567_modelseed567
100.0,678,124.032,102.65080261230469,mae,102.65,test,exact,0.0008026123046818157,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed678_modelseed678
100.0,789,90.011,110.35440826416016,mae,110.35,test,exact,0.004408264160161934,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed789_modelseed789
100.0,789,97.379,108.17385864257812,mae,108.04,test,exact,0.13385864257811875,CGCNN/CGCNN_Matbench/results_matbench_phonons_10seed_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed789_modelseed789
100.0,891,96.286,90.40142822265625,mae,90.4,test,exact,0.0014282226562443157,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed891_modelseed891
100.0,912,132.265,103.89595031738281,mae,103.9,test,exact,0.004049682617193184,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim100_dataseed912_modelseed912
80.0,123,116.803,109.76268768310547,mae,109.76,test,exact,0.002687683105463634,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed123_modelseed123
80.0,135,126.09,156.3599853515625,mae,156.36,test,exact,1.464843751364242e-05,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed135_modelseed135
80.0,234,125.951,127.70747375488281,mae,127.71,test,exact,0.0025262451171812472,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed234_modelseed234
80.0,345,139.492,132.23776245117188,mae,132.24,test,exact,0.002237548828134095,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed345_modelseed345
80.0,456,85.389,122.76245880126953,mae,122.76,test,exact,0.002458801269526134,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed456_modelseed456
80.0,567,91.659,87.816162109375,mae,87.82,test,exact,0.003837890624993179,CGCNN/CGCNN_Matbench/results_matbench_phonons_onecycle_fastfood/cgcnn_matbench_phonons_fastfood_dim80_dataseed567_modelseed567
