id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.3402753908567668,0.3524957611531421,mae,0.3525,test,exact,4.238846857906875e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed123_splitseed1123_ep350
100.0,123,0.3402753908567668,0.3524957611531421,mae,0.3525,test,exact,4.238846857906875e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed123_splitseed1123_ep350
100.0,234,0.3596873530746923,0.3595616866864971,mae,0.3596,test,exact,3.8313313502902346e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed234_splitseed1234_ep350
100.0,234,0.3596873530746923,0.3595616866864971,mae,0.3596,test,exact,3.8313313502902346e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed234_splitseed1234_ep350
100.0,456,0.3689941575669155,0.37610286166150325,mae,0.3761,test,exact,2.8616615032617254e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed456_splitseed1456_ep350
100.0,456,0.3689941575669155,0.37610286166150325,mae,0.3761,test,exact,2.8616615032617254e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed456_splitseed1456_ep350
100.0,789,0.3602140802266053,0.3654765665683473,mae,0.3655,test,exact,2.3433431652675196e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed789_splitseed1789_ep350
100.0,789,0.3602140802266053,0.3654765665683473,mae,0.3655,test,exact,2.3433431652675196e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim100_modelseed789_splitseed1789_ep350
80.0,123,0.35532883726970094,0.3692316469068562,mae,0.3692,test,exact,3.164690685625304e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim80_modelseed123_splitseed1123_ep350
80.0,123,0.35532883726970094,0.3692316469068562,mae,0.3692,test,exact,3.164690685625304e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_wrapped_adamw_onecycle_lr0.001_dim80_modelseed123_splitseed1123_ep350
