id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.6813820965682958,0.6892199654594785,mae,0.6892,test,exact,1.9965459478465952e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_2/dimenetpp_bandgap_bestmodel_tenth_2_dim100_modelseed123_splitseed1123_epochs350
100.0,456,0.6105238306002969,0.634797473567181,mae,0.6348,test,exact,2.526432819061064e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_1/dimenetpp_bandgap_bestmodel_tenth_1_dim100_modelseed456_splitseed1456_epochs350
100.0,456,0.6228724467006547,0.6440892775466837,mae,0.6441,test,exact,1.0722453316347469e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_2/dimenetpp_bandgap_bestmodel_tenth_2_dim100_modelseed456_splitseed1456_epochs350
80.0,123,0.6828212577012869,0.6866019660485807,mae,0.6866,test,exact,1.9660485807149186e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_1/dimenetpp_bandgap_bestmodel_tenth_1_dim80_modelseed123_splitseed1123_epochs350
80.0,123,0.6832880272415927,0.6950263778819891,mae,0.695,test,exact,2.6377881989114726e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_2/dimenetpp_bandgap_bestmodel_tenth_2_dim80_modelseed123_splitseed1123_epochs350
80.0,456,0.5957934870874126,0.6493705859774841,mae,0.6494,test,exact,2.941402251588343e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_1/dimenetpp_bandgap_bestmodel_tenth_1_dim80_modelseed456_splitseed1456_epochs350
80.0,456,0.6474085039845563,0.6442236813954857,mae,0.6442,test,exact,2.3681395485697365e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_2/dimenetpp_bandgap_bestmodel_tenth_2_dim80_modelseed456_splitseed1456_epochs350
60.0,123,0.6354811842158292,0.6379595170975347,mae,0.638,test,exact,4.0482902465277526e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_1/dimenetpp_bandgap_bestmodel_tenth_1_dim60_modelseed123_splitseed1123_epochs350
60.0,123,0.6635996922060895,0.6692956913758397,mae,0.6693,test,exact,4.308624160342944e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_2/dimenetpp_bandgap_bestmodel_tenth_2_dim60_modelseed123_splitseed1123_epochs350
60.0,456,0.5809115943649608,0.6351651927523253,mae,0.6352,test,exact,3.480724767468413e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/tenth_1/dimenetpp_bandgap_bestmodel_tenth_1_dim60_modelseed456_splitseed1456_epochs350
