id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.5014763430837758,0.5235608523945572,mae,0.5236,test,exact,3.914760544276863e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim100_modelseed123_splitseed1123_epochs350
100.0,123,0.5042483504432956,0.5290911423612852,mae,0.5291,test,exact,8.857638714832028e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_2/dimenetpp_bandgap_bestmodel_quarter_2_dim100_modelseed123_splitseed1123_epochs350
100.0,456,0.5099474808009449,0.5253067839058436,mae,0.5253,test,exact,6.783905843632532e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim100_modelseed456_splitseed1456_epochs350
100.0,456,0.5137953538189249,0.5164117187931418,mae,0.5164,test,exact,1.1718793141879402e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_2/dimenetpp_bandgap_bestmodel_quarter_2_dim100_modelseed456_splitseed1456_epochs350
80.0,123,0.5046991565202879,0.5496146634132714,mae,0.5496,test,exact,1.4663413271387427e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim80_modelseed123_splitseed1123_epochs350
80.0,123,0.5117625361792237,0.5334043748849249,mae,0.5334,test,exact,4.374884924884803e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_2/dimenetpp_bandgap_bestmodel_quarter_2_dim80_modelseed123_splitseed1123_epochs350
80.0,456,0.5275618938241616,0.5419976721919513,mae,0.542,test,exact,2.3278080487632025e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim80_modelseed456_splitseed1456_epochs350
80.0,456,0.5030055926467761,0.5072118310370379,mae,0.5072,test,exact,1.1831037037945968e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_2/dimenetpp_bandgap_bestmodel_quarter_2_dim80_modelseed456_splitseed1456_epochs350
60.0,123,0.51027811036371,0.5366247144839725,mae,0.5366,test,exact,2.4714483972565482e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim60_modelseed123_splitseed1123_epochs350
60.0,123,0.5076768619900819,0.5284790355630223,mae,0.5285,test,exact,2.096443697763295e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_2/dimenetpp_bandgap_bestmodel_quarter_2_dim60_modelseed123_splitseed1123_epochs350
60.0,456,0.519580151155197,0.5365630369592207,mae,0.5366,test,exact,3.696304077926982e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim60_modelseed456_splitseed1456_epochs350
60.0,456,0.5389170823502146,0.538521224046596,mae,0.5385,test,exact,2.1224046595991197e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_2/dimenetpp_bandgap_bestmodel_quarter_2_dim60_modelseed456_splitseed1456_epochs350
50.0,123,0.51911817429179,0.5407320211949269,mae,0.5407,test,exact,3.202119492695665e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim50_modelseed123_splitseed1123_epochs350
50.0,123,0.5437741779516745,0.5379854910304547,mae,0.5438,val,exact,2.582204832546342e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_bestmodel/bandgap/quarter_1/dimenetpp_bandgap_bestmodel_quarter_1_dim50_modelseed123_splitseed1123_epochs350
