id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.6535870171387871,0.6425318632689301,mae,0.64253,test,exact,1.8632689300357441e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim100_modelseed123_splitseed1123_ep150
100.0,234,0.5250695397277781,0.6196891292385228,mae,0.61969,test,exact,8.707614771452654e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim100_modelseed234_splitseed1234_ep150
100.0,456,0.5285170055893248,0.5454468329643787,mae,0.54545,test,exact,3.1670356213098216e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim100_modelseed456_splitseed1456_ep150
100.0,567,0.6329055753139915,0.5967201077189321,mae,0.59672,test,exact,1.0771893210748118e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim100_modelseed567_splitseed1567_ep150
100.0,789,0.9432370113455768,0.6523852470218495,mae,0.65239,test,exact,4.7529781505017965e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim100_modelseed789_splitseed1789_ep150
80.0,123,0.6623009752100146,0.649386857809176,mae,0.64939,test,exact,3.142190823979263e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim80_modelseed123_splitseed1123_ep150
80.0,234,0.48432190464049585,0.5654845649566183,mae,0.56548,test,exact,4.564956618269278e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim80_modelseed234_splitseed1234_ep150
80.0,234,0.5995720751760963,0.634156826003444,mae,0.60988,val,close,0.010307924823903636,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_fastfood/dimenetpp_dielectric_fastfood_nb1_dim80_modelseed234_splitseed1234_epochs150
80.0,456,0.5309591831263424,0.5265923100227659,mae,0.52659,test,exact,2.3100227658501282e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim80_modelseed456_splitseed1456_ep150
80.0,567,0.6469947156978461,0.5860506093212471,mae,0.58605,test,exact,6.093212471247611e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim80_modelseed567_splitseed1567_ep150
60.0,123,0.6573854177182016,0.65804773312249,mae,0.65805,test,exact,2.2668775100376237e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim60_modelseed123_splitseed1123_ep150
60.0,234,0.5380597293511932,0.5991692210339776,mae,0.59917,test,exact,7.789660223522787e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim60_modelseed234_splitseed1234_ep150
60.0,456,0.5000838838264442,0.5106999825345011,mae,0.5107,test,exact,1.7465498935997914e-08,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim60_modelseed456_splitseed1456_ep150
60.0,567,0.635896827054598,0.5792974059342942,mae,0.5793,test,exact,2.5940657057965666e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim60_modelseed567_splitseed1567_ep150
60.0,789,0.882682321486023,0.5992965718442264,mae,0.5993,test,exact,3.4281557736992596e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim60_modelseed789_splitseed1789_ep150
40.0,123,0.5310657574733335,0.5876244551221567,mae,0.58762,test,exact,4.455122156632463e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_dielectric_onecycle/dimenetpp_dielectric_onecycle_lr0.003_dim40_modelseed123_splitseed1123_ep150
