id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,234,0.059533655443131835,0.061392313558460726,mae,0.0614,test,exact,7.686441539277167e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_adamw_onecycle_lr0.001_dim100_modelseed234_splitseed1234_ep350
100.0,234,0.059533655443131835,0.061392313558460726,mae,0.0614,test,exact,7.686441539277167e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_adamw_onecycle_lr0.001_dim100_modelseed234_splitseed1234_ep350
100.0,456,0.058104837492953657,0.059581539779056655,mae,0.0596,test,exact,1.8460220943344874e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_sgd_none_lr0.001_dim100_modelseed456_splitseed1456_ep350
100.0,456,0.057640680711506825,0.059288474251994294,mae,0.0593,test,exact,1.1525748005704328e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_adamw_onecycle_lr0.001_dim100_modelseed456_splitseed1456_ep350
100.0,456,0.058104837492953657,0.059581539779056655,mae,0.0596,test,exact,1.8460220943344874e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_sgd_none_lr0.001_dim100_modelseed456_splitseed1456_ep350
100.0,456,0.057640680711506825,0.059288474251994294,mae,0.0593,test,exact,1.1525748005704328e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_adamw_onecycle_lr0.001_dim100_modelseed456_splitseed1456_ep350
100.0,789,0.061931170579718954,0.06135442755863119,mae,0.0614,test,exact,4.5572441368810224e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_adamw_onecycle_lr0.001_dim100_modelseed789_splitseed1789_ep350
100.0,789,0.061931170579718954,0.06135442755863119,mae,0.0614,test,exact,4.5572441368810224e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_wrapped_adamw_onecycle_lr0.001_dim100_modelseed789_splitseed1789_ep350
80.0,123,0.06208324294608286,0.06326365776291282,mae,0.0614,val,close,0.0006832429460828585,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim80_modelseed123_splitseed1123_epochs350
80.0,123,0.06208324294608286,0.06326365776291282,mae,0.0614,val,close,0.0006832429460828585,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim80_modelseed123_splitseed1123_epochs350
80.0,456,0.05773926909373868,0.05945901256681013,mae,0.0593,test,exact,0.0001590125668101336,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim80_modelseed456_splitseed1456_epochs350
80.0,456,0.06103002630927751,0.06339736329220352,mae,0.0614,val,close,0.0003699736907224957,DimeNetPP/DimeNetPP_MP/results_dimenetpp_eform_fastfood/dimenetpp_eform_fastfood_dim80_modelseed456_splitseed1456_epochs350
80.0,456,0.05773926909373868,0.05945901256681013,mae,0.0593,test,exact,0.0001590125668101336,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim80_modelseed456_splitseed1456_epochs350
80.0,456,0.06103002630927751,0.06339736329220352,mae,0.0614,val,close,0.0003699736907224957,DimeNetPP/DimeNetPP_MP/results_dimenetpp_eform_fastfood/dimenetpp_eform_fastfood_dim80_modelseed456_splitseed1456_epochs350
80.0,789,0.05958674526583254,0.05905402321965905,mae,0.0596,val,exact,1.3254734167460203e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim80_modelseed789_splitseed1789_epochs350
80.0,789,0.05958674526583254,0.05905402321965905,mae,0.0596,val,exact,1.3254734167460203e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim80_modelseed789_splitseed1789_epochs350
70.0,123,0.06476241683639761,0.06509496140987099,mae,0.0651,test,exact,5.038590129013976e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim70_modelseed123_splitseed1123_epochs350
70.0,123,0.06476241683639761,0.06509496140987099,mae,0.0651,test,exact,5.038590129013976e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim70_modelseed123_splitseed1123_epochs350
70.0,234,0.06166335292153074,0.06214037509660727,mae,0.0621,test,exact,4.037509660726607e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim70_modelseed234_splitseed1234_epochs350
70.0,234,0.06166335292153074,0.06214037509660727,mae,0.0621,test,exact,4.037509660726607e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/full/dimenetpp_eform_bestmodel_full_dim70_modelseed234_splitseed1234_epochs350
