id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,123,0.15576966274266918,0.17192009639259417,mae,0.1719,test,exact,2.0096392594176615e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim100_modelseed123_splitseed1123_epochs350
100.0,123,0.17965099501160736,0.17920841954387162,mae,0.1792,test,exact,8.419543871623913e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim100_modelseed123_splitseed1123_epochs350
100.0,456,0.17979983997105056,0.1768753243888656,mae,0.1769,test,exact,2.467561113439487e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim100_modelseed456_splitseed1456_epochs350
100.0,456,0.16185260776864405,0.17073289221572222,mae,0.1707,test,exact,3.289221572222445e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim100_modelseed456_splitseed1456_epochs350
80.0,123,0.1819842159293699,0.18314893202656915,mae,0.1831,test,exact,4.893202656913731e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim80_modelseed123_splitseed1123_epochs350
80.0,123,0.19130897355279766,0.1960463807436187,mae,0.196,test,exact,4.6380743618679166e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim80_modelseed123_splitseed1123_epochs350
80.0,456,0.20227761279165335,0.19376341395179245,mae,0.1938,test,exact,3.658604820755418e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim80_modelseed456_splitseed1456_epochs350
80.0,456,0.16056444838041603,0.1688862109128726,mae,0.1689,test,exact,1.3789087127402677e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim80_modelseed456_splitseed1456_epochs350
70.0,123,0.17017981903651913,0.1846096764873863,mae,0.1846,test,exact,9.676487386311994e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim70_modelseed123_splitseed1123_epochs350
70.0,123,0.18212987156608626,0.1826839298963141,mae,0.1827,test,exact,1.6070103685900117e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim70_modelseed123_splitseed1123_epochs350
70.0,456,0.19895600239743763,0.1907784962444739,mae,0.1908,test,exact,2.1503755526092183e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim70_modelseed456_splitseed1456_epochs350
70.0,456,0.19721295588668677,0.19945144100483445,mae,0.1995,test,exact,4.8558995165565166e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim70_modelseed456_splitseed1456_epochs350
60.0,123,0.187735170688837,0.20361990563228025,mae,0.2036,test,exact,1.990563228024267e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim60_modelseed123_splitseed1123_epochs350
60.0,123,0.17818248664731753,0.17610211106216578,mae,0.1761,test,exact,2.1110621657716155e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim60_modelseed123_splitseed1123_epochs350
60.0,456,0.19731706539694502,0.19124460978778343,mae,0.1912,test,exact,4.460978778342284e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim60_modelseed456_splitseed1456_epochs350
60.0,456,0.1873276328125994,0.1888380907735244,mae,0.1888,test,exact,3.809077352440182e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim60_modelseed456_splitseed1456_epochs350
55.0,123,0.1757914408964528,0.18899719612314322,mae,0.189,test,exact,2.8038768567772987e-06,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim55_modelseed123_splitseed1123_epochs350
55.0,123,0.1866033488789925,0.18997239001989422,mae,0.19,test,exact,2.760998010578608e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim55_modelseed123_splitseed1123_epochs350
55.0,456,0.20602844793952113,0.20076298640229476,mae,0.2008,test,exact,3.701359770524881e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_1/dimenetpp_eform_bestmodel_tenth_1_dim55_modelseed456_splitseed1456_epochs350
55.0,456,0.19597468370422325,0.19865742112997656,mae,0.1987,test,exact,4.257887002342975e-05,DimeNetPP/DimeNetPP_MP/results_dimenetpp_onecycle_fixedtest/eform/tenth_2/dimenetpp_eform_bestmodel_tenth_2_dim55_modelseed456_splitseed1456_epochs350
