id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,111,0.14557893173298525,0.13926930997257786,mae,0.1393,test,exact,3.069002742214777e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed111_splitseed1111_epochs180
100.0,123,0.1123638557186901,0.13057725786758415,mae,0.1306,test,exact,2.2742132415848326e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed123_splitseed1123_epochs180
100.0,222,0.11666739308532816,0.1292400711481103,mae,0.1292,test,exact,4.007114811030443e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed222_splitseed1222_epochs180
100.0,234,0.11705766073931441,0.13809567457804967,mae,0.1381,test,exact,4.325421950335251e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed234_splitseed1234_epochs180
100.0,333,0.15974228537816043,0.14127695646680372,mae,0.1413,test,exact,2.3043533196293042e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed333_splitseed1333_epochs180
100.0,444,0.1593961653351103,0.1433262555932723,mae,0.1433,test,exact,2.6255593272295208e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed444_splitseed1444_epochs180
100.0,456,0.15997867152363854,0.13769340901336496,mae,0.1377,test,exact,6.590986635024443e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed456_splitseed1456_epochs180
100.0,789,0.13446149172197652,0.1377742964974033,mae,0.1378,test,exact,2.5703502596702288e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim100_modelseed789_splitseed1789_epochs180
80.0,111,0.15377222753024938,0.1442990832060964,mae,0.1443,test,exact,9.167939035992223e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed111_splitseed1111_epochs180
80.0,123,0.1369201655247322,0.13443308386446984,mae,0.1344,test,exact,3.3083864469846125e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed123_splitseed1123_epochs180
80.0,222,0.12323036495550438,0.1441993020940533,mae,0.1442,test,exact,6.979059467004944e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed222_splitseed1222_epochs180
80.0,234,0.11207644746570451,0.13130018089625403,mae,0.1313,test,exact,1.8089625403172604e-07,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed234_splitseed1234_epochs180
80.0,333,0.14730337889970557,0.1307805865732974,mae,0.1308,test,exact,1.9413426702585834e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed333_splitseed1333_epochs180
80.0,444,0.15637077727361795,0.1547217278122524,mae,0.1547,test,exact,2.172781225240339e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed444_splitseed1444_epochs180
80.0,456,0.15924762214539137,0.14413317730914488,mae,0.1441,test,exact,3.3177309144871714e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/tenth/dimenetpp_kvrh_bestmodel_tenth_1_dim80_modelseed456_splitseed1456_epochs180
