id_dim_percent,seed,val,test,metric,plotted_value,matched_on,confidence,abs_residual,source_dir
100.0,111,0.10546258048627646,0.11850160980706788,mae,0.1185,test,exact,1.6098070678843834e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed111_splitseed1111_epochs180
100.0,123,0.10866847731883965,0.11084868073907048,mae,0.1108,test,exact,4.868073907048076e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed123_splitseed1123_epochs180
100.0,123,0.11579401441228128,0.10040826184615516,mae,0.1158,val,exact,5.9855877187209305e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_partitions_fastfood/kvrh_quarter_1/dimenetpp_kvrh_fastfood_kvrh_quarter_1_dim100_modelseed123_splitseed1123_epochs180
100.0,222,0.12244193992790131,0.12142073152478249,mae,0.1214,test,exact,2.0731524782491295e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed222_splitseed1222_epochs180
100.0,234,0.11554977162002426,0.1259892712521367,mae,0.126,test,exact,1.0728747863314458e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed234_splitseed1234_epochs180
100.0,333,0.10719737699010537,0.12204678895443938,mae,0.122,test,exact,4.678895443938069e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed333_splitseed1333_epochs180
100.0,444,0.11638993622360522,0.12100862651547581,mae,0.121,test,exact,8.626515475812502e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed444_splitseed1444_epochs180
100.0,456,0.12232331317529221,0.11830879127467829,mae,0.1183,test,exact,8.791274678288108e-06,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed456_splitseed1456_epochs180
100.0,567,0.12538550594496534,0.12155941442998533,mae,0.1216,test,exact,4.0585570014670114e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed567_splitseed1567_epochs180
100.0,789,0.12056158794214947,0.1208569211561459,mae,0.1209,test,exact,4.307884385409966e-05,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_bestmodel_fixedtest/log_kvrh/quarter/dimenetpp_kvrh_bestmodel_quarter_1_dim100_modelseed789_splitseed1789_epochs180
