id_dim_percent,model_seed,split_seed,val_mae,test_mae,optimizer,lr_schedule,restore_best,source_dir
100,1653,1653,0.08,0.08155680447816849,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed1653_modelseed1653
100,253,253,0.078,0.08169268071651459,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed253_modelseed253
100,768,768,0.084,0.08496131747961044,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim100_dataseed768_modelseed768
80,1653,1653,0.083,0.08478489518165588,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed1653_modelseed1653
80,253,253,0.084,0.08548963069915771,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed253_modelseed253
80,768,768,0.087,0.0886874571442604,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim80_dataseed768_modelseed768
60,1653,1653,0.088,0.09049787372350693,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed1653_modelseed1653
60,253,253,0.087,0.09207949787378311,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed253_modelseed253
60,768,768,0.091,0.09355579316616058,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim60_dataseed768_modelseed768
50,1653,1653,0.091,0.09430096298456192,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed1653_modelseed1653
50,253,253,0.086,0.09378611296415329,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed253_modelseed253
50,768,768,0.089,0.08997399359941483,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim50_dataseed768_modelseed768
40,1653,1653,0.098,0.10333734005689621,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed1653_modelseed1653
40,253,253,0.092,0.09678692370653152,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed253_modelseed253
40,768,768,0.096,0.09668028354644775,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim40_dataseed768_modelseed768
20,1653,1653,0.118,0.1192120760679245,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed1653_modelseed1653
20,253,253,0.116,0.12133264541625977,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed253_modelseed253
20,768,768,0.116,0.11710225045681,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim20_dataseed768_modelseed768
15,1653,1653,0.125,0.13017991185188293,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim15_dataseed1653_modelseed1653
15,253,253,0.123,0.12588904798030853,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim15_dataseed253_modelseed253
15,768,768,0.124,0.12670473754405975,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim15_dataseed768_modelseed768
10,1653,1653,0.141,0.143905371427536,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed1653_modelseed1653
10,253,253,0.144,0.14810797572135925,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed253_modelseed253
10,768,768,0.144,0.14394284784793854,sgd,onecycle,True,CGCNN/CGCNN_Matbench/results_mp_eform_sgd_onecycle_fastfood/cgcnn_mp_eform_fastfood_dim10_dataseed768_modelseed768
