id_dim_percent,model_seed,split_seed,val_mae,test_mae,optimizer,lr_schedule,restore_best,source_dir
100,123,1123,0.0933077381920084,0.09598125908982978,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim100_modelseed123_splitseed1123_epochs180
100,456,1456,0.08909442826901763,0.08682354344122065,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim100_modelseed456_splitseed1456_epochs180
100,789,1789,0.08499189042509209,0.0908856998278273,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim100_modelseed789_splitseed1789_epochs180
80,123,1123,0.0921103511108017,0.09049324461971925,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim80_modelseed123_splitseed1123_epochs180
80,456,1456,0.08685496635214415,0.08777947143415249,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim80_modelseed456_splitseed1456_epochs180
80,789,1789,0.084643017106018,0.09507039069135337,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim80_modelseed789_splitseed1789_epochs180
70,123,1123,0.10022152543896033,0.0990301274496696,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim70_modelseed123_splitseed1123_epochs180
70,456,1456,0.0920437141646251,0.08738794875857889,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim70_modelseed456_splitseed1456_epochs180
70,789,1789,0.08237174603043314,0.09046056395065517,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim70_modelseed789_splitseed1789_epochs180
65,123,1123,0.0916603526262078,0.0912309705113888,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim65_modelseed123_splitseed1123_epochs180
65,456,1456,0.0881525275614098,0.08572174562820283,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim65_modelseed456_splitseed1456_epochs180
65,789,1789,0.08435741217705293,0.08977278923490681,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim65_modelseed789_splitseed1789_epochs180
50,123,1123,0.08887843596065595,0.09084714870862262,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim50_modelseed123_splitseed1123_epochs180
50,456,1456,0.09251488660878046,0.08702295622103168,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim50_modelseed456_splitseed1456_epochs180
50,789,1789,0.08497706389476838,0.08907759148612418,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim50_modelseed789_splitseed1789_epochs180
45,123,1123,0.08923674458362761,0.09159686590625374,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim45_modelseed123_splitseed1123_epochs180
45,456,1456,0.09290552300659324,0.08803813065912976,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim45_modelseed456_splitseed1456_epochs180
45,789,1789,0.08138159430752191,0.08566508793169181,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim45_modelseed789_splitseed1789_epochs180
20,123,1123,0.10060619362919544,0.09863806666152584,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim20_modelseed123_splitseed1123_epochs180
20,456,1456,0.08968487064059001,0.08654494342788466,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim20_modelseed456_splitseed1456_epochs180
20,789,1789,0.08446713397412724,0.09066322974876061,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim20_modelseed789_splitseed1789_epochs180
10,123,1123,0.09179314353222985,0.09515743835509267,sgd,none,True,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_log_kvrh_convwidth_sgd_bestmodel/dimenetpp_log_kvrh_fastfood_ies982_dim10_modelseed123_splitseed1123_epochs180
