id_dim_percent,model_seed,split_seed,val_mae,test_mae,optimizer,lr_schedule,restore_best,source_dir
100,123,123,0.12052616011351347,0.10220153211009175,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim100_modelseed123_splitseed123_epochs180
100,123,123,0.1354105593636632,0.11239726605504587,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim100_modelseed123_splitseed123_epochs180
100,456,456,0.1046984950080514,0.11556359633027521,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim100_modelseed456_splitseed456_epochs180
100,456,456,0.13092602789402008,0.13420553211009176,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim100_modelseed456_splitseed456_epochs180
80,123,123,0.12415364850312471,0.10134999999999998,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim80_modelseed123_splitseed123_epochs180
80,123,123,0.14083063043653965,0.10998380733944955,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim80_modelseed123_splitseed123_epochs180
80,456,456,0.10382622200995684,0.11692048623853209,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim80_modelseed456_splitseed456_epochs180
80,456,456,0.13090510666370392,0.14821997247706423,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim80_modelseed456_splitseed456_epochs180
70,123,123,0.12455322872847319,0.10759971559633028,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim70_modelseed123_splitseed123_epochs180
70,123,123,0.14195768162608147,0.10923119266055048,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim70_modelseed123_splitseed123_epochs180
70,456,456,0.10461666155606508,0.11653950458715596,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim70_modelseed456_splitseed456_epochs180
70,456,456,0.13311525620520115,0.14330953211009176,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim70_modelseed456_splitseed456_epochs180
65,123,123,0.12534949649125338,0.10371807339449542,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim65_modelseed123_splitseed123_epochs180
65,123,123,0.1431874819099903,0.10864444954128442,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim65_modelseed123_splitseed123_epochs180
65,456,456,0.10464938636869192,0.11611936697247706,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim65_modelseed456_splitseed456_epochs180
65,456,456,0.13118318375200033,0.14448941284403669,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim65_modelseed456_splitseed456_epochs180
50,123,123,0.12605719361454248,0.10406923853211009,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim50_modelseed123_splitseed123_epochs180
50,123,123,0.14468518923968077,0.11144496330275229,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim50_modelseed123_splitseed123_epochs180
50,456,456,0.10528194066137075,0.11722060550458714,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim50_modelseed456_splitseed456_epochs180
50,456,456,0.13226136937737465,0.14164700917431194,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim50_modelseed456_splitseed456_epochs180
45,123,123,0.12661089841276407,0.10653346788990825,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim45_modelseed123_splitseed123_epochs180
45,123,123,0.1454374622553587,0.1121378256880734,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim45_modelseed123_splitseed123_epochs180
45,456,456,0.10377795994281769,0.11805725688073394,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim45_modelseed456_splitseed456_epochs180
45,456,456,0.13101549167186022,0.14378691743119265,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim45_modelseed456_splitseed456_epochs180
20,123,123,0.1328887501731515,0.11896425688073392,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim20_modelseed123_splitseed123_epochs180
20,123,123,0.14963620621711016,0.12362538532110093,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim20_modelseed123_splitseed123_epochs180
20,456,456,0.11256837472319603,0.11920304587155962,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim20_modelseed456_splitseed456_epochs180
20,456,456,0.133956091478467,0.14666266055045873,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim20_modelseed456_splitseed456_epochs180
10,123,123,0.14225693885236979,0.1290815504587156,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim10_modelseed123_splitseed123_epochs180
10,123,123,0.14910575654357672,0.13088590825688076,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim10_modelseed123_splitseed123_epochs180
10,456,456,0.11627546697854996,0.1269594862385321,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim10_modelseed456_splitseed456_epochs180
10,456,456,0.14360948093235493,0.15533187155963304,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim10_modelseed456_splitseed456_epochs180
8,123,123,0.14126513805240393,0.13136815596330273,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim8_modelseed123_splitseed123_epochs180
8,123,123,0.15050887037068605,0.13286860550458718,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim8_modelseed123_splitseed123_epochs180
8,456,456,0.11817167140543461,0.12935224770642204,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim8_modelseed456_splitseed456_epochs180
8,456,456,0.14649039413779974,0.1593309633027523,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim8_modelseed456_splitseed456_epochs180
5,123,123,0.14470200706273317,0.13802528440366973,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim5_modelseed123_splitseed123_epochs180
5,123,123,0.15684860106557608,0.1408236513761468,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim5_modelseed123_splitseed123_epochs180
5,456,456,0.1261010840535164,0.13428571559633026,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim5_modelseed456_splitseed456_epochs180
5,456,456,0.1537075201049447,0.16755642201834864,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim5_modelseed456_splitseed456_epochs180
2,123,123,0.1567062446847558,0.15897525688073394,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim2_modelseed123_splitseed123_epochs180
2,123,123,0.16669178195297718,0.16851126605504588,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim2_modelseed123_splitseed123_epochs180
2,456,456,0.14036187902092934,0.14874458715596328,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim2_modelseed456_splitseed456_epochs180
2,456,456,0.16036103758960962,0.18143227522935781,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim2_modelseed456_splitseed456_epochs180
1,123,123,0.18243621196597815,0.19643129357798164,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim1_modelseed123_splitseed123_epochs180
1,123,123,0.20593962259590626,0.22072985321100919,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim1_modelseed123_splitseed123_epochs180
1,456,456,0.1767929010093212,0.17339516513761466,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_1/alignn_log_kvrh_fastfood_dim1_modelseed456_splitseed456_epochs180
1,456,456,0.19510043505579233,0.226054,sgd,none,True,ALIGNN/ALIGNN_Matbench/results_alignn_log_kvrh_sgd_partitions/kvrh_tenth_2/alignn_log_kvrh_fastfood_dim1_modelseed456_splitseed456_epochs180
