model,task,partition,matched,total,main_source_dir
ALIGNN,BandGap,full,44,68,results_alignn_bandgap_fastfood
ALIGNN,BandGap,one-tenth,48,48,bandgap_p10_1
ALIGNN,BandGap,quarter,0,32,-
ALIGNN,Dielectric,full,50,50,results_alignn_dielectric_fastfood
ALIGNN,Formation Energy,full,85,86,results_alignn_eform_fastfood
ALIGNN,Formation Energy,one-tenth,48,48,eform_p10_1
ALIGNN,Formation Energy,quarter,0,32,-
ALIGNN,Log KVRH,full,88,88,kvrh_full_s123
ALIGNN,Log KVRH,one-tenth,44,44,kvrh_tenth_2_s456
ALIGNN,Log KVRH,quarter,44,44,kvrh_quarter_1_s123
ALIGNN,Phonons,full,110,110,results_alignn_phonons_bestmodel_fastfood
ALIGNN,is_metal,full,48,48,results_alignn_is_metal_fastfood
CGCNN,BandGap,full,32,32,results_mp_bandgap_onecycle_fastfood
CGCNN,Dielectric,full,100,100,results_matbench_dielectric_onecycle_fastfood
CGCNN,Formation Energy,full,24,36,results_mp_eform_onecycle_fastfood
CGCNN,Log KVRH,full,36,36,results_matbench_log_kvrh_fastfood
CGCNN,Phonons,full,105,108,results_matbench_phonons_onecycle_fastfood
CGCNN,is_metal,full,48,48,results_mp_is_metal_fastfood
DimeNet++,BandGap,full,63,64,bandgap
DimeNet++,BandGap,one-tenth,28,28,tenth_1
DimeNet++,BandGap,quarter,32,32,quarter_1
DimeNet++,Dielectric,full,50,50,results_dimenetpp_dielectric_onecycle
DimeNet++,Formation Energy,full,72,80,full
DimeNet++,Formation Energy,one-tenth,44,44,tenth_1
DimeNet++,Formation Energy,quarter,39,40,quarter_1
DimeNet++,Log KVRH,full,237,237,full
DimeNet++,Log KVRH,one-tenth,110,110,tenth
DimeNet++,Log KVRH,quarter,120,120,quarter
DimeNet++,Phonons,full,110,110,results_dimenetpp_phonons_onecycle_fastfood
DimeNet++,is_metal,full,48,48,results_dimenetpp_is_metal_fastfood
