model,task,dataset_size,optimizer,lr_schedule,restore_best,id_dim_percent,model_seed,split_seed,val_mae,test_mae,source_dir
DimeNet++,bandgap,full,adamw,none,True,100,123,1123,0.31622564431745315,0.3325217309318893,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_adamw_none_lr0.001_dim100_modelseed123_splitseed1123_ep350
DimeNet++,bandgap,full,adamw,none,True,100,234,1234,0.34673576543710294,0.34375709282396955,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_adamw_none_lr0.001_dim100_modelseed234_splitseed1234_ep350
DimeNet++,bandgap,full,adamw,none,True,100,456,1456,0.31378456917439584,0.3149256115628493,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_adamw_none_lr0.001_dim100_modelseed456_splitseed1456_ep350
DimeNet++,bandgap,full,adamw,none,True,100,789,1789,0.3276109180531416,0.33763996556950593,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_adamw_none_lr0.001_dim100_modelseed789_splitseed1789_ep350
DimeNet++,bandgap,full,sgd,none,True,100,123,1123,0.4393826730764561,0.45674167518911873,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_sgd_none_lr0.001_dim100_modelseed123_splitseed1123_ep350
DimeNet++,bandgap,full,sgd,none,True,100,234,1234,0.40405803798664075,0.3975002495963306,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_sgd_none_lr0.001_dim100_modelseed234_splitseed1234_ep350
DimeNet++,bandgap,full,sgd,none,True,100,456,1456,0.38478584684511785,0.39056890345375933,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/bandgap/bandgap_base_sgd_none_lr0.001_dim100_modelseed456_splitseed1456_ep350
DimeNet++,eform,full,adamw,none,True,100,123,1123,0.04578802072543404,0.04586912310488095,DimeNetPP/DimeNetPP_MP/results_dimenetpp_nowrapper/eform/full/dimenetpp_eform_nowrapper_full_modelseed123_splitseed1123_epochs200
DimeNet++,eform,full,adamw,none,True,100,234,1234,0.04425473716613103,0.04587575557159407,DimeNetPP/DimeNetPP_MP/results_dimenetpp_nowrapper/eform/full/dimenetpp_eform_nowrapper_full_modelseed234_splitseed1234_epochs200
DimeNet++,eform,full,adamw,none,True,100,456,1456,0.04503342515781392,0.04677136785652254,DimeNetPP/DimeNetPP_MP/results_dimenetpp_nowrapper/eform/full/dimenetpp_eform_nowrapper_full_modelseed456_splitseed1456_epochs200
DimeNet++,eform,full,adamw,none,True,100,789,1789,0.04634534934590691,0.04514417130320416,DimeNetPP/DimeNetPP_MP/results_dimenetpp_nowrapper/eform/full/dimenetpp_eform_nowrapper_full_modelseed789_splitseed1789_epochs200
DimeNet++,eform,full,sgd,none,True,100,123,1123,0.0694092331342939,0.07079740261046472,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_base_sgd_none_lr0.001_dim100_modelseed123_splitseed1123_ep200
DimeNet++,eform,full,sgd,none,True,100,234,1234,0.06513415365447643,0.06573113343730548,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_base_sgd_none_lr0.001_dim100_modelseed234_splitseed1234_ep200
DimeNet++,eform,full,sgd,none,True,100,789,1789,0.06332067530266115,0.06345524933530997,DimeNetPP/DimeNetPP_MP/results_dimenetpp_optimizer_test/eform/eform_base_sgd_none_lr0.001_dim100_modelseed789_splitseed1789_ep200
DimeNet++,log_kvrh,full,adamw,onecycle,True,100,123,1123,0.0693357795444065,0.07302434272752219,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_kvrh_wrapper_variants/base/dimenetpp_kvrh_bestmodel_full_dim100_modelseed123_splitseed1123_epochs150
DimeNet++,log_kvrh,full,adamw,onecycle,True,100,234,1234,0.07136108755254152,0.06953717559120291,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_kvrh_wrapper_variants/base/dimenetpp_kvrh_bestmodel_full_dim100_modelseed234_splitseed1234_epochs150
DimeNet++,log_kvrh,full,adamw,onecycle,True,100,456,1456,0.0775312673111507,0.07534161691764592,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_kvrh_wrapper_variants/base/dimenetpp_kvrh_bestmodel_full_dim100_modelseed456_splitseed1456_epochs150
DimeNet++,log_kvrh,full,adamw,onecycle,True,100,789,1789,0.068313538984242,0.06936572405052445,DimeNetPP/DimeNetPP_Matbench/results_dimenetpp_kvrh_wrapper_variants/base/dimenetpp_kvrh_bestmodel_full_dim100_modelseed789_splitseed1789_epochs150
